long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,long,long,long,long,long,long,flags,long,str,flags,None,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
122,,,"Teldrassil",,,,,,,,,,,,,,0xFF01FE,1,14,0,0,0,-1,0,0,0x4,1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
124,,,"Sombrivage",,,,,,,,,,,,,,0xFF01FE,8,24,0,0,0,-1,0,0,0x4,1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
126,,,"Orneval",,,,,,,,,,,,,,0xFF01FE,18,34,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
128,,,"Gangrebois",,,,,,,,,,,,,,0xFF01FE,46,60,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
130,,,"Azshara",,,,,,,,,,,,,,0xFF01FE,43,60,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
132,,,"Berceau-de-l'hiver",,,,,,,,,,,,,,0xFF01FE,53,63,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
152,,,"Péninsule des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,57,66,0,0,0,-1,0,0,0x4,-1,"Outland",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
153,,,"Marécage de Zangar",,,,,,,,,,,,,,0xFF01FE,58,67,0,0,0,-1,0,0,0x4,-1,"Outland",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
154,,,"Forêt de Terokkar",,,,,,,,,,,,,,0xFF01FE,60,68,0,0,0,-1,0,0,0x4,-1,"Outland",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
155,,,"Nagrand",,,,,,,,,,,,,,0xFF01FE,62,70,0,0,0,-1,0,0,0x4,-1,"Outland",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
156,,,"Vallée d'Ombrelune",,,,,,,,,,,,,,0xFF01FE,65,73,0,0,0,-1,0,0,0x4,-1,"Outland",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
157,,,"Les Tranchantes",,,,,,,,,,,,,,0xFF01FE,63,71,0,0,0,-1,0,0,0x4,-1,"Outland",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
158,,,"Raz-de-Néant",,,,,,,,,,,,,,0xFF01FE,65,73,0,0,0,-1,0,0,0x4,-1,"Outland",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
166,,,"Bois des Chants éternels",,,,,,,,,,,,,,0xFF01FE,1,14,0,0,0,-1,0,0,0x4,0,"",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
167,,,"Île de Brume-azur",,,,,,,,,,,,,,0xFF01FE,1,14,0,0,0,-1,0,0,0x4,1,"",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
168,,,"Terres fantômes",,,,,,,,,,,,,,0xFF01FE,8,24,0,0,0,-1,0,0,0x4,0,"",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
169,,,"Île de Brume-sang",,,,,,,,,,,,,,0xFF01FE,8,24,0,0,0,-1,0,0,0x4,1,"",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
200,,,"Île de Quel'Danas",,,,,,,,,,,,,,0xFF01FE,69,72,0,0,0,530,0,0,0x4,-1,"",0x1,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
228,,,"Toundra Boréenne",,,,,,,,,,,,,,0xFF01FE,68,72,0,0,0,571,0,0,0x4,-1,"",0x2,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
229,,,"Fjord Hurlant",,,,,,,,,,,,,,0xFF01FE,68,72,0,0,0,571,0,0,0x4,-1,"",0x2,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
230,,,"Les Grisonnes",,,,,,,,,,,,,,0xFF01FE,70,74,0,0,0,571,0,0,0x4,-1,"",0x2,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
231,,,"Désolation des dragons",,,,,,,,,,,,,,0xFF01FE,71,75,0,0,0,571,0,0,0x4,-1,"",0x2,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
232,,,"Joug-d'hiver",,,,,,,,,,,,,,0xFF01FE,77,80,0,0,0,571,0,0,0x4,-1,"",0x2,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
233,,,"Zul'Drak",,,,,,,,,,,,,,0xFF01FE,73,77,0,0,0,571,0,0,0x4,-1,"",0x2,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
234,,,"Bassin de Sholazar",,,,,,,,,,,,,,0xFF01FE,75,79,0,0,0,571,0,0,0x4,-1,"",0x2,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
235,,,"Les pics Foudroyés",,,,,,,,,,,,,,0xFF01FE,77,80,0,0,0,571,0,0,0x4,-1,"",0x2,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
236,,,"La Couronne de glace",,,,,,,,,,,,,,0xFF01FE,77,80,0,0,0,571,0,0,0x4,-1,"IcecrownCitadel",0x2,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
178,,,"Cryptes Auchenaï",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,558,1,3,0x5,-1,"AUCHINDOUN",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
179,,,"Tombes-mana",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,557,1,3,0x5,-1,"AUCHINDOUN",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
180,,,"Salles des Sethekk",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,556,1,3,0x5,-1,"AUCHINDOUN",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
181,,,"Labyrinthe des ombres",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,555,1,3,0x5,-1,"AUCHINDOUN",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
182,,,"Le Noir Marécage",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,269,1,3,0x5,-1,"CAVERNSOFTIME",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
183,,,"L'évasion de Fort-de-Durn",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,560,1,3,0x5,-1,"CAVERNSOFTIME",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
184,,,"Enclos aux esclaves",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,547,1,3,0x5,-1,"COILFANG",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
185,,,"Caveau de la vapeur",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,545,1,3,0x5,-1,"COILFANG",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
186,,,"Basse-tourbière",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,546,1,3,0x5,-1,"COILFANG",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
187,,,"Fournaise du sang",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,542,1,3,0x5,-1,"HELLFIRECITADEL",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
188,,,"Remparts des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,543,1,3,0x5,-1,"HELLFIRECITADEL",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
189,,,"Les Salles brisées",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,540,1,3,0x5,-1,"HELLFIRECITADEL",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
190,,,"L’Arcatraz",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,552,1,3,0x5,-1,"TEMPESTKEEP",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
191,,,"La Botanica",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,553,1,3,0x5,-1,"TEMPESTKEEP",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
192,,,"Le Méchanar",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,554,1,3,0x5,-1,"TEMPESTKEEP",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
201,,,"Terrasse des Magistères",,,,,,,,,,,,,,0xFF01FE,70,75,70,70,73,585,1,3,0x5,-1,"MAGISTERSTERRACE",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
205,,,"Cime d'Utgarde",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,575,1,3,0x5,-1,"UTGARDEPINNACLE",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
210,,,"L'épuration de Stratholme",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,595,1,3,0x5,-1,"CAVERNSOFTIME",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
211,,,"L'Oculus",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,578,1,3,0x5,-1,"THEOCULUS",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
212,,,"Salles de Foudre",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,602,1,3,0x5,-1,"HALLSOFLIGHTNING",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
213,,,"Salles de Pierre",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,599,1,3,0x5,-1,"HALLSOFSTONE",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
215,,,"Donjon de Drak'Tharon",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,600,1,3,0x5,-1,"DRAKTHARON",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
217,,,"Gundrak",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,604,1,3,0x5,-1,"GUNDRAK",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
219,,,"Ahn'kahet : l'Ancien royaume",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,619,1,3,0x5,-1,"AHNKALET",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
221,,,"Fort pourpre",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,608,1,3,0x5,-1,"THEVIOLETHOLD",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
226,,,"Le Nexus",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,576,1,3,0x5,-1,"THENEXUS",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
241,,,"Azjol-Nérub",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,601,1,3,0x5,-1,"AZJOLNERUB",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
242,,,"Donjon d'Utgarde",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,574,1,3,0x5,-1,"UTGARDE",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
249,,,"L'épreuve du champion",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,650,1,3,0x5,-1,"ARGENTDUNGEON",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
252,,,"La Forge des âmes",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,632,1,3,0x5,-1,"THEFORGEOFSOULS",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
254,,,"La fosse de Saron",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,658,1,3,0x5,-1,"PITOFSARON",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
256,,,"Les salles des Reflets",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,668,1,3,0x5,-1,"HALLSOFREFLECTION",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
258,,,"Donjon classique aléatoire",,,,,,,,,,,,,,0xFF01FE,15,58,55,15,58,0,0,3,0x6,-1,"",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
259,,,"Donjon aléatoire de The Burning Crusade",,,,,,,,,,,,,,0xFF01FE,59,68,65,59,68,0,0,3,0x6,-1,"",0x1,,2,,,"",,,,,,,,,,,,,,0xFF01FC,
260,,,"Donjon aléatoire héroïque de The Burning Crusade",,,,,,,,,,,,,,0xFF01FE,70,73,70,70,73,0,1,3,0x6,-1,"",0x1,,3,,,"",,,,,,,,,,,,,,0xFF01FC,
261,,,"Donjon aléatoire de Wrath of the Lich King",,,,,,,,,,,,,,0xFF01FE,69,80,80,69,80,0,0,3,0x6,-1,"",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
262,,,"Donjon aléatoire héroïque de Wrath of the Lich King",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,0,1,3,0x6,-1,"",0x2,,5,,,"",,,,,,,,,,,,,,0xFF01FC,
