long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,flags,long,flags,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,
495,-1,604,0,,,"Gundrak : mode héroïque",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les boss de Gundrak en mode héroïque.",,,,,,,,,,,,,,0xFF01FE,14921,0xA,7,0x0,3238,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
518,-1,-1,519,,,"30 réputations exaltées",,,,,,,,,,,,,,0xFF01FE,,,"Monter 30 réputations jusqu'à Exalté.",,,,,,,,,,,,,,0xFF01FE,201,0xA,7,0x0,3604,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
572,-1,533,0,,,"Chute de Saphiron (10 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre Saphiron à Naxxramas en mode 10 joueurs.",,,,,,,,,,,,,,0xFF01FE,14922,0xA,7,0x0,1700,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
573,-1,533,0,,,"Chute de Saphiron (25 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre Saphiron à Naxxramas en mode 25 joueurs.",,,,,,,,,,,,,,0xFF01FE,14923,0xA,7,0x0,1700,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
593,0,-1,0,,,"Morts causées par Vanndar Foudrepique",,,,,,,,,,,,,,0xFF01FE,,,"Morts causées par Vanndar Foudrepique",,,,,,,,,,,,,,0xFF01FE,124,0x0,7,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
635,-1,-1,0,,,"Kraal de Tranchebauge",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre Charlga Trancheflanc.",,,,,,,,,,,,,,0xFF01FE,14808,0xA,7,0x0,3686,,,"",,,,,,,,,,,,,,0xFF01EE,1,0,
652,-1,-1,0,,,"L'évasion de Fort-de-Durn",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre le Chasseur d'époques.",,,,,,,,,,,,,,0xFF01FE,14805,0xA,7,0x0,3824,,,"",,,,,,,,,,,,,,0xFF01EE,1,0,
730,-1,-1,0,,,"Boulots alimentaires",,,,,,,,,,,,,,0xFF01FE,,,"Devenir un grand maître en pêche, secourisme et cuisine.",,,,,,,,,,,,,,0xFF01FE,169,0xA,7,0x0,1657,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
841,-1,-1,0,,,"Exploration des Paluns",,,,,,,,,,,,,,0xFF01FE,,,"Explorer les Paluns et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14777,0xA,7,0x0,3573,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
861,-1,-1,0,,,"Exploration de l'île de Brume-sang",,,,,,,,,,,,,,0xFF01FE,,,"Explorer l'île de Brume-sang et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14778,0xA,7,0x0,3551,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
864,-1,-1,0,,,"Exploration de la vallée d'Ombrelune",,,,,,,,,,,,,,0xFF01FE,,,"Explorer la vallée d'Ombrelune et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14779,0xA,7,0x0,3584,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
898,-1,-1,0,,,"Sur les ailes du néant",,,,,,,,,,,,,,0xFF01FE,,,"Être exalté auprès de l'Aile-du-Néant.",,,,,,,,,,,,,,0xFF01FE,14865,0xA,7,0x0,1928,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
906,-1,-1,0,,,"Relever un peu la sauce",,,,,,,,,,,,,,0xFF01FE,,,"Achever chacune des 4 quêtes journalières de cuisine du Rokk listées ci-dessous.",,,,,,,,,,,,,,0xFF01FE,170,0xA,7,0x0,2923,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
922,-1,-1,0,,,"Potions de mana consommées",,,,,,,,,,,,,,0xFF01FE,,,"Potions de mana consommées",,,,,,,,,,,,,,0xFF01FE,145,0x0,7,0x9,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
926,0,-1,0,,,"Plus grand nombre de réputations de la Horde exaltées",,,,,,,,,,,,,,0xFF01FE,,,"Plus grand nombre de réputations de la Horde exaltées",,,,,,,,,,,,,,0xFF01FE,147,0x0,7,0x21,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
928,-1,-1,0,,,"Emplacements en banque supplémentaires achetés",,,,,,,,,,,,,,0xFF01FE,,,"Emplacements en banque supplémentaires achetés",,,,,,,,,,,,,,0xFF01FE,191,0x0,7,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
933,-1,-1,0,,,"Nombre d'entrées dans des raids à 10",,,,,,,,,,,,,,0xFF01FE,,,"Nombre d'entrées dans des raids à 10",,,,,,,,,,,,,,0xFF01FE,14807,0x0,7,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
981,-1,-1,0,,,"Un sourire étincelant",,,,,,,,,,,,,,0xFF01FE,,,"Montrez votre sourire étincelant en utilisant un cure-dents.",,,,,,,,,,,,,,0xFF01FE,158,0xA,7,0x0,3510,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1008,-1,-1,0,,,"Le Kirin Tor",,,,,,,,,,,,,,0xFF01FE,,,"Être exalté auprès du Kirin Tor.",,,,,,,,,,,,,,0xFF01FE,14866,0xA,7,0x0,3682,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1034,1,-1,0,,,"Les feux d'Azeroth",,,,,,,,,,,,,,0xFF01FE,,,"Accomplir les hauts faits Responsable de la flamme des Royaumes de l'est, de Kalimdor et d'Outreterre.",,,,,,,,,,,,,,0xFF01FE,161,0xA,7,0x0,12,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1038,1,-1,0,,,"Le gardien des flammes",,,,,,,,,,,,,,0xFF01FE,,,"Accomplir les hauts faits du Solstice listés ci-dessous.",,,,,,,,,,,,,,0xFF01FE,155,0x14,7,0x0,2974,,,"Titre : gardien des flammes",,,,,,,,,,,,,,0xFF01FE,0,0,
1074,-1,556,0,,,"Morts du roi-serre Ikiss (Les salles des Sethekk)",,,,,,,,,,,,,,0xFF01FE,,,"Morts du roi-serre Ikiss (Les salles des Sethekk)",,,,,,,,,,,,,,0xFF01FE,14822,0x5,7,0x1,2378,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1096,-1,229,0,,,"Morts du général Drakkisath (Pic Rochenoire)",,,,,,,,,,,,,,0xFF01FE,,,"Morts du général Drakkisath (Pic Rochenoire)",,,,,,,,,,,,,,0xFF01FE,14821,0x5,7,0x1,1551,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1111,-1,-1,0,,,"Victoires honorables en arène de 2c2",,,,,,,,,,,,,,0xFF01FE,,,"Victoires honorables en arène de 2c2",,,,,,,,,,,,,,0xFF01FE,136,0x0,7,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1192,1,-1,0,,,"Chelem en Nagrand",,,,,,,,,,,,,,0xFF01FE,,,"Achever 75 quêtes en Nagrand.",,,,,,,,,,,,,,0xFF01FE,14862,0xA,7,0x0,3563,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1233,-1,619,0,,,"Morts du héraut Volazj (Ahn'kahet : l'Ancien royaume)",,,,,,,,,,,,,,0xFF01FE,,,"Morts du héraut Volazj (Ahn'kahet : l'Ancien royaume)",,,,,,,,,,,,,,0xFF01FE,14823,0x5,7,0x1,1256,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
1252,0,489,0,,,"Défenseur suprême",,,,,,,,,,,,,,0xFF01FE,,,"Tuer 100 porteurs de drapeau dans le goulet des Chanteguerres.",,,,,,,,,,,,,,0xFF01FE,14804,0xA,7,0x0,3400,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
1253,-1,-1,0,,,"Réanimation sous forme de goule",,,,,,,,,,,,,,0xFF01FE,,,"Réanimation sous forme de goule",,,,,,,,,,,,,,0xFF01FE,127,0x0,7,0x1,221,,,"",,,,,,,,,,,,,,0x7EFF01EE,0,0,
1257,-1,-1,0,,,"Chiffonnier",,,,,,,,,,,,,,0xFF01FE,,,"Pêcher avec succès dans chacun des débris listés ci-dessous.",,,,,,,,,,,,,,0xFF01FE,171,0xA,7,0x0,3068,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
1260,-1,-1,0,,,"Hébété par l'alcool",,,,,,,,,,,,,,0xFF01FE,,,"Faire une chute de 65 mètres sans mourir et en étant complètement bourré pendant la fête de Brasseurs.",,,,,,,,,,,,,,0xFF01FE,162,0xA,7,0x0,2402,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
1281,-1,-1,0,,,"Feu d'artifice rouge",,,,,,,,,,,,,,0xFF01FE,,,"Lancer 10 chapelets de fusées rouges en 25 secondes maximum.",,,,,,,,,,,,,,0xFF01FE,160,0xA,7,0x0,2368,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
1289,-1,-1,0,,,"Héros des donjons du Norfendre",,,,,,,,,,,,,,0xFF01FE,,,"Accomplir les hauts faits dans les donjons héroïques du Norfendre listés ci-dessous.",,,,,,,,,,,,,,0xFF01FE,168,0x14,7,0x0,857,,,"",,,,,,,,,,,,,,0x7DFF01EC,0,0,
1295,-1,-1,0,,,"Le Cogn'Baff",,,,,,,,,,,,,,0xFF01FE,,,"Provoquer 25 collisions avec votre Cogn'Baff de course pendant la fête du Voile d'hiver.",,,,,,,,,,,,,,0xFF01FE,156,0xA,7,0x0,2367,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
1457,-1,-1,0,,,"Exploration de la forêt du Chant de cristal",,,,,,,,,,,,,,0xFF01FE,,,"Explorer la forêt du Chant de cristal et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14780,0xA,7,0x0,3471,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
1492,-1,-1,0,,,"Coups fatals en arène de 2c2",,,,,,,,,,,,,,0xFF01FE,,,"Coups fatals en arène de 2c2",,,,,,,,,,,,,,0xFF01FE,137,0x0,7,0x1,1,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
1519,-1,-1,0,,,"Compétence en pêche",,,,,,,,,,,,,,0xFF01FE,,,"Compétence en pêche",,,,,,,,,,,,,,0xFF01FE,178,0x0,7,0x1,1,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
1704,-1,-1,0,,,"Pas de pitié pour les artichauts",,,,,,,,,,,,,,0xFF01FE,,,"/Plaindre les cœurs d'artichaut dans les endroits listés ci-dessous.",,,,,,,,,,,,,,0xFF01FE,187,0xA,7,0x0,2339,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
1723,-1,571,0,,,"Massacre à la déchiqueteuse",,,,,,,,,,,,,,0xFF01FE,,,"Tuer 100 personnages à Joug-d'hiver à l'aide d'un véhicule ou d'un canon.",,,,,,,,,,,,,,0xFF01FE,14901,0xA,7,0x88,2547,,,"",,,,,,,,,,,,,,0x7EFF01EC,0,0,
1761,-1,607,0,,,"Poseur de bombes",,,,,,,,,,,,,,0xFF01FE,,,"Poser 100 charges d'hydroglycérine qui endommagent un mur avec succès.",,,,,,,,,,,,,,0xFF01FE,14881,0xA,7,0x0,2565,,,"",,,,,,,,,,,,,,0x7EFF01EC,0,0,
2216,-1,-1,0,,,"Boss de donjon de Lich King le plus mortel",,,,,,,,,,,,,,0xFF01FE,,,"Boss de donjon de Lich King le plus mortel",,,,,,,,,,,,,,0xFF01FE,125,0x0,7,0x11,1,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,322,
2419,1,-1,0,,,"Amourette de printemps",,,,,,,,,,,,,,0xFF01FE,,,"Trouvez à votre compagnon lapin du printemps une âme soeur dans chacune des villes ci-dessous.",,,,,,,,,,,,,,0xFF01FE,159,0xA,7,0x0,3202,,,"",,,,,,,,,,,,,,0x7DFF01EC,0,0,
2777,1,-1,0,,,"Champion de Darnassus",,,,,,,,,,,,,,0xFF01FE,,,"Obtenir le droit de représenter Darnassus au tournoi d'Argent",,,,,,,,,,,,,,0xFF01FE,14941,0xA,7,0x0,3801,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
2868,-1,603,0,,,"Morts d'Auriaya (Ulduar à 10)",,,,,,,,,,,,,,0xFF01FE,,,"Morts d'Auriaya (Ulduar à 10)",,,,,,,,,,,,,,0xFF01FE,14963,0xA,7,0x1,1700,,,"",,,,,,,,,,,,,,0x7DFF01EC,0,0,
2905,-1,603,0,,,"Véhicule flambant neuf (10 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre le léviathan des flammes dès le premier essai et sans qu'un seul membre du raid répare son véhicule en mode 10 joueurs.",,,,,,,,,,,,,,0xFF01FE,14961,0xA,7,0x0,325,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
2906,-1,603,0,,,"Véhicule flambant neuf (25 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre le léviathan des flammes dès le premier essai et sans qu'un seul membre du raid répare son véhicule en mode 25 joueurs.",,,,,,,,,,,,,,0xFF01FE,14962,0xA,7,0x0,325,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
3581,0,-1,0,,,"Le péril du pèlerin",,,,,,,,,,,,,,0xFF01FE,,,"Vêtu d'une tenue, d'une robe ou d'un costume de pèlerin, prenez place autour de la table des Bienfaits de chaque capitale ennemie.",,,,,,,,,,,,,,0xFF01FE,14981,0xA,7,0x0,1704,,,"",,,,,,,,,,,,,,0xFFF7EE,0,0,
3799,-1,-1,0,,,"Poivre et sel (10 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les jumelles val'kyrs en 3 minutes maximum en mode 10 joueurs.",,,,,,,,,,,,,,0xFF01FE,15001,0xA,7,0x0,4005,,,"",,,,,,,,,,,,,,0xFF1BFF,1,0,
3815,-1,-1,0,,,"Poivre et sel (25 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les jumelles val'kyrs en 3 minutes maximum en mode 25 joueurs.",,,,,,,,,,,,,,0xFF01FE,15002,0xA,7,0x0,4005,,,"",,,,,,,,,,,,,,0xFF1BFD,1,0,
4052,-1,-1,0,,,"Victoires sur le champion chaman (L'épreuve du champion)",,,,,,,,,,,,,,0xFF01FE,,,"Victoires sur le champion chaman (L'épreuve du champion)",,,,,,,,,,,,,,0xFF01FE,15021,0x0,7,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
4177,0,628,4176,,,"Elle est à moi !",,,,,,,,,,,,,,0xFF01FE,,,"Gagner sur l'île des Conquérants en ayant le contrôle de la carrière, de la raffinerie, des docks, de l'atelier de siège et du hangar.",,,,,,,,,,,,,,0xFF01FE,15003,0xA,7,0x0,4016,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
4527,-1,631,0,,,"Les salles de l'Aile de givre (10 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les boss des salles de l'Aile de givre dans la citadelle de la Couronne de glace en mode 10 joueurs.",,,,,,,,,,,,,,0xFF01FE,15041,0xA,7,0x0,4158,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
4607,-1,631,0,,,"Les salles de l'Aile de givre (25 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les boss des salles de l'Aile de givre dans la citadelle de la Couronne de glace en mode 25 joueurs.",,,,,,,,,,,,,,0xFF01FE,15042,0xA,7,0x0,4158,,,"",,,,,,,,,,,,,,0xFF01FC,0,0,
4718,-1,-1,0,,,"Morts d'Ick et Krick (Fosse de Saron)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,15062,0x0,7,0x1,1,,,"",,,,,,,,,,,,,,0xFF01FC,0,0,
4730,-1,-1,0,,,"Emblèmes de givre obtenus",,,,,,,,,,,,,,0xFF01FE,,,"Emblèmes de givre obtenus",,,,,,,,,,,,,,0xFF01FE,130,0x0,7,0x1,1,,,"",,,,,,,,,,,,,,0xFF01FC,0,0,
13,-1,-1,12,,,"Niveau 80",,,,,,,,,,,,,,0xFF01FE,,,"Atteindre le niveau 80.",,,,,,,,,,,,,,0xFF01FE,92,0xA,8,0x4,3275,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
51,-1,529,0,,,"Victoires dans le bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,,,"Victoires dans le bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,153,0x0,8,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
150,-1,-1,0,,,"Le pêcheur diplomate",,,,,,,,,,,,,,0xFF01FE,,,"Pêcher quelque chose dans Orgrimmar et Hurlevent",,,,,,,,,,,,,,0xFF01FE,171,0xA,8,0x0,2737,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
161,-1,529,0,,,"Victoire arrachée",,,,,,,,,,,,,,0xFF01FE,,,"Rattraper un retard de 500 ressources dans une bataille pour le bassin d'Arathi et obtenir la victoire.",,,,,,,,,,,,,,0xFF01FE,14802,0xA,8,0x0,3468,,,"",,,,,,,,,,,,,,0xFF01EE,1,0,
168,-1,489,0,,,"Goulet des Chanteguerres parfait",,,,,,,,,,,,,,0xFF01FE,,,"Gagner une bataille pour le goulet des Chanteguerres par 3 à 0.",,,,,,,,,,,,,,0xFF01FE,14804,0xA,8,0x0,3485,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
181,-1,-1,0,,,"Objets désenchantés",,,,,,,,,,,,,,0xFF01FE,,,"Objets désenchantés",,,,,,,,,,,,,,0xFF01FE,173,0x0,8,0x1,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
216,-1,566,0,,,"En route pour la gloire",,,,,,,,,,,,,,0xFF01FE,,,"Dans une même bataille pour l'Œil du cyclone, capturer le drapeau 3 fois sans mourir.",,,,,,,,,,,,,,0xFF01FE,14803,0xA,8,0x0,2267,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
279,-1,-1,0,,,"A-BO-MI-NA-BLE !",,,,,,,,,,,,,,0xFF01FE,,,"Achever la quête de récupération des friandises volées des Gourmandises Fumebois et recevoir un grand merci des Gourmandises Fumebois.",,,,,,,,,,,,,,0xFF01FE,156,0xA,8,0x0,3190,,,"",,,,,,,,,,,,,,0xFF01EE,1,0,
295,-1,230,0,,,"Faites la fête au brasseur",,,,,,,,,,,,,,0xFF01FE,,,"Tuer Coren Navrebière.",,,,,,,,,,,,,,0xFF01FE,162,0xA,8,0x0,2788,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
323,-1,-1,0,,,"Morts sur des boss de raids à 10 de Wrath of the Lich King",,,,,,,,,,,,,,0xFF01FE,,,"Morts sur des boss de raids à 10 de Wrath of the Lich King",,,,,,,,,,,,,,0xFF01FE,125,0x0,8,0x9,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
331,-1,-1,0,,,"Enchère la plus importante à l'hôtel des ventes",,,,,,,,,,,,,,0xFF01FE,,,"Enchère la plus importante à l'hôtel des ventes",,,,,,,,,,,,,,0xFF01FE,140,0x0,8,0x1,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
366,-1,-1,0,,,"Victoires en 2c2",,,,,,,,,,,,,,0xFF01FE,,,"Victoires en 2c2",,,,,,,,,,,,,,0xFF01FE,152,0x0,8,0x9,4,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
401,-1,-1,400,,,"Rien que nous deux : 2000",,,,,,,,,,,,,,0xFF01FE,,,"Obtenir une cote personnelle de 2000 en équipe d'arène de 2c2 au niveau 80.",,,,,,,,,,,,,,0xFF01FE,165,0xA,8,0x0,3037,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
461,-1,-1,0,,,"Chevalier de la mort « Prem's » au niveau 80 sur le royaume",,,,,,,,,,,,,,0xFF01FE,,,"Premier chevalier de la mort du royaume à atteindre le niveau 80.",,,,,,,,,,,,,,0xFF01FE,81,0x0,8,0x100,2639,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
485,-1,599,0,,,"Les salles de Pierre",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les boss des salles de Pierre.",,,,,,,,,,,,,,0xFF01FE,14806,0xA,8,0x0,3239,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
496,-1,599,0,,,"Les salles de Pierre : mode héroïque",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les boss des salles de Pierre en mode héroïque.",,,,,,,,,,,,,,0xFF01FE,14921,0xA,8,0x0,3240,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
574,-1,533,0,,,"Défaite de Kel'Thuzad (10 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre Kel'Thuzad à Naxxramas en mode 10 joueurs.",,,,,,,,,,,,,,0xFF01FE,14922,0xA,8,0x0,1898,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
575,-1,533,0,,,"Défaite de Kel'Thuzad (25 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre Kel'Thuzad à Naxxramas en mode 25 joueurs.",,,,,,,,,,,,,,0xFF01FE,14923,0xA,8,0x0,1898,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
634,-1,-1,0,,,"Gnomeregan",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre le mekgénieur Thermojoncteur.",,,,,,,,,,,,,,0xFF01FE,14808,0xA,8,0x0,3641,,,"",,,,,,,,,,,,,,0xFF01EE,1,0,
653,-1,-1,0,,,"Les salles des Sethekk",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre le roi-serre Ikiss.",,,,,,,,,,,,,,0xFF01FE,14805,0xA,8,0x0,3631,,,"",,,,,,,,,,,,,,0xFF01EE,1,0,
769,-1,-1,0,,,"Exploration de la forêt des Pins argentés",,,,,,,,,,,,,,0xFF01FE,,,"Explorer la forêt des Pins argentés et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14777,0xA,8,0x0,3576,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
830,-1,-1,0,,,"Montant total des soins reçus",,,,,,,,,,,,,,0xFF01FE,,,"Montant total des soins reçus",,,,,,,,,,,,,,0xFF01FE,141,0x0,8,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
845,-1,-1,0,,,"Exploration d'Orneval",,,,,,,,,,,,,,0xFF01FE,,,"Explorer Orneval et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14778,0xA,8,0x0,3543,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
869,-1,-1,239,,,"50 000 victoires honorables",,,,,,,,,,,,,,0xFF01FE,,,"Obtenir 50 000 victoires honorables.",,,,,,,,,,,,,,0xFF01FE,95,0xA,8,0x0,3461,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
899,1,-1,0,,,"Il n'y a que les Kurenaï qui m'aillent",,,,,,,,,,,,,,0xFF01FE,,,"Être exalté auprès des Kurenaï.",,,,,,,,,,,,,,0xFF01FE,14865,0xF,8,0x0,2208,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
931,-1,-1,0,,,"Nombre total de factions rencontrées",,,,,,,,,,,,,,0xFF01FE,,,"Nombre total de factions rencontrées",,,,,,,,,,,,,,0xFF01FE,147,0x0,8,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
934,-1,-1,0,,,"Nombre d'entrées dans des raids à 25",,,,,,,,,,,,,,0xFF01FE,,,"Nombre d'entrées dans des raids à 25",,,,,,,,,,,,,,0xFF01FE,14807,0x0,8,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
978,-1,-1,32,,,"3 000 quêtes achevées",,,,,,,,,,,,,,0xFF01FE,,,"Achever 3 000 quêtes.",,,,,,,,,,,,,,0xFF01FE,96,0x32,8,0x0,3414,,,"Titre : chercheur",,,,,,,,,,,,,,0xFF01FE,0,0,
1009,-1,-1,0,,,"Chevaliers de la Lame d'ébène",,,,,,,,,,,,,,0xFF01FE,,,"Être exalté auprès des chevaliers de la Lame d'ébène.",,,,,,,,,,,,,,0xFF01FE,14866,0xA,8,0x0,3683,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1014,-1,-1,518,,,"35 réputations exaltées",,,,,,,,,,,,,,0xFF01FE,,,"Être exalté auprès de 35 factions.",,,,,,,,,,,,,,0xFF01FE,201,0xA,8,0x0,3603,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1028,1,-1,0,,,"Extinction des Royaumes de l'est",,,,,,,,,,,,,,0xFF01FE,,,"Piétiner les feux de joie de la Horde dans les Royaumes de l'est.",,,,,,,,,,,,,,0xFF01FE,161,0xA,8,0x0,1920,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1039,0,-1,0,,,"Le garde-flammes",,,,,,,,,,,,,,0xFF01FE,,,"Accomplir les hauts faits du Solstice listés ci-dessous.",,,,,,,,,,,,,,0xFF01FE,155,0x14,8,0x0,2975,,,"Titre : garde-flammes",,,,,,,,,,,,,,0xFF01FE,0,0,
1040,1,-1,0,,,"Sanssaint ruinée",,,,,,,,,,,,,,0xFF01FE,,,"Ruiner la Sanssaint de la Horde en achevant les quêtes du sergent Hartman, qui incluent la perturbation de la Fête de l'homme d'osier et le nettoyage des boules puantes à Austrivage.",,,,,,,,,,,,,,0xFF01FE,158,0xA,8,0x0,3480,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1043,-1,-1,0,,,"Nombre de jets de cupidité sur du butin",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de jets de cupidité sur du butin",,,,,,,,,,,,,,0xFF01FE,191,0x0,8,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1075,-1,555,0,,,"Morts de Marmon (Labyrinthe des ombres)",,,,,,,,,,,,,,0xFF01FE,,,"Morts de Marmon (Labyrinthe des ombres)",,,,,,,,,,,,,,0xFF01FE,14822,0x5,8,0x1,2793,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1102,-1,309,0,,,"Morts d'Hakkar (Zul'Gurub)",,,,,,,,,,,,,,0xFF01FE,,,"Morts d'Hakkar (Zul'Gurub)",,,,,,,,,,,,,,0xFF01FE,14821,0x5,8,0x1,2804,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1110,-1,-1,0,,,"Victoires honorables en arène de 3c3",,,,,,,,,,,,,,0xFF01FE,,,"Victoires honorables en arène de 3c3",,,,,,,,,,,,,,0xFF01FE,136,0x0,8,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1164,0,30,0,,,"Chaque détail compte",,,,,,,,,,,,,,0xFF01FE,,,"Gagner dans la vallée d'Alterac tandis que votre équipe contrôle les deux mines.",,,,,,,,,,,,,,0xFF01FE,14801,0xA,8,0x0,3433,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1269,-1,-1,0,,,"Exploration des pics Foudroyés",,,,,,,,,,,,,,0xFF01FE,,,"Explorer les pics Foudroyés et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14780,0xA,8,0x0,3404,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
1273,0,-1,0,,,"Chelem en Nagrand",,,,,,,,,,,,,,0xFF01FE,,,"Achever 87 quêtes dans Nagrand.",,,,,,,,,,,,,,0xFF01FE,14862,0xA,8,0x0,3563,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
