long,long,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,bool,
763,7,0x0,,,"Familier - faucon-dragon",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,1530,,,"",,,,,,,,,,,,,,0xFF01EC,0,
764,7,0x0,,,"Familier - raie du Néant",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,1577,,,"",,,,,,,,,,,,,,0xFF01EC,0,
765,7,0x0,,,"Familier - sporoptère",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,2033,,,"",,,,,,,,,,,,,,0xFF01EC,0,
766,7,0x0,,,"Familier - traqueur dimensionnel",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,1952,,,"",,,,,,,,,,,,,,0xFF01EC,0,
767,7,0x0,,,"Familier - ravageur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,1585,,,"",,,,,,,,,,,,,,0xFF01EC,0,
768,7,0x0,,,"Familier - serpent",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,2167,,,"",,,,,,,,,,,,,,0xFF01EC,0,
769,7,0x16,,,"Interne",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,1775,,,"",,,,,,,,,,,,,,0xFF01EC,0,
770,7,0x0,,,"Sang",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,2636,,,"",,,,,,,,,,,,,,0xFF01EC,0,
771,7,0x0,,,"Givre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,2632,,,"",,,,,,,,,,,,,,0xFF01EC,0,
772,7,0x0,,,"Impie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,2633,,,"",,,,,,,,,,,,,,0xFF01EC,0,
773,11,0x0,,,"Calligraphie",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence de calligraphie plus élevée vous permet d'apprendre des calligraphies plus difficiles. Les calligraphies s'apprennent dans le monde entier auprès de maîtres scribes.",,,,,,,,,,,,,,0xFF01FE,3267,,,"Calligraphier",,,,,,,,,,,,,,0xFF01FE,1,
775,7,0x0,,,"Familier - phalène",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
776,7,0x0,,,"Runeforger",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,2727,,,"Graver",,,,,,,,,,,,,,0xFF01FE,0,
777,7,0x0,,,"Montures",,,,,,,,,,,,,,0xFF01FE,,,"Vos montures",,,,,,,,,,,,,,0xFF01FE,2224,,,"",,,,,,,,,,,,,,0xFF01EC,0,
778,7,0x0,,,"Compagnons",,,,,,,,,,,,,,0xFF01FE,,,"Vos compagnons",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
780,7,0x0,,,"Familier - chimère exotique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
781,7,0x0,,,"Familieur - diablosaure exotique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
782,7,0x0,,,"Familier - goule",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,221,,,"",,,,,,,,,,,,,,0xFF01EC,0,
783,7,0x0,,,"Familier - silithide exotique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
784,7,0x0,,,"Familier - ver exotique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
785,7,0x0,,,"Familier - guêpe",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
786,7,0x0,,,"Familier - rhinocéros exotique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
787,7,0x0,,,"Familier - chien du Magma exotique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
788,5,0x0,,,"Familier - esprit de bête exotique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
792,7,0x0,,,"Maître brasseur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,25028,,,"",,,,,,,,,,,,,,0xFF01EC,0,
793,7,0x0,,,"Tisse-brume",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,25031,,,"",,,,,,,,,,,,,,0xFF01EC,0,
794,7,0x0,,,"Marche-vent",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,25035,,,"",,,,,,,,,,,,,,0xFF01EC,0,
806,7,0x0,,,"Moine",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,7591,,,"",,,,,,,,,,,,,,0xFF01EC,0,
810,7,0x0,,,"Familier - Xuen",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
899,9,0x0,,,"Raciale pandaren",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
906,10,0x0,,,"Langue : pandaren (Alliance)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
907,10,0x0,,,"Langue : pandaren (Horde)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
