long,long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,
331,546,0,3000,3,,,"La Traqueuse noire",,,,,,,,,,,,,,0xFF01FE,,
332,546,1,4000,3,,,"La Traqueuse noire",,,,,,,,,,,,,,0xFF01FE,,
301,547,0,0,0,,,"Mennu le Traître",,,,,,,,,,,,,,0xFF01FE,,
304,547,1,0,0,,,"Mennu le Traître",,,,,,,,,,,,,,0xFF01FE,,
302,547,0,1000,1,,,"Rokmar le Crépitant",,,,,,,,,,,,,,0xFF01FE,,
305,547,1,1000,1,,,"Rokmar le Crépitant",,,,,,,,,,,,,,0xFF01FE,,
303,547,0,2000,2,,,"Bourbierreux",,,,,,,,,,,,,,0xFF01FE,,
306,547,1,2000,2,,,"Bourbierreux",,,,,,,,,,,,,,0xFF01FE,,
623,548,0,0,0,,,"Hydross l'Instable",,,,,,,,,,,,,,0xFF01FE,,
624,548,0,1000,1,,,"Le Rôdeur d'En bas",,,,,,,,,,,,,,0xFF01FE,,
625,548,0,2000,2,,,"Leotheras l'Aveugle",,,,,,,,,,,,,,0xFF01FE,,
626,548,0,3000,3,,,"Seigneur des fonds Karathress",,,,,,,,,,,,,,0xFF01FE,,
627,548,0,4000,4,,,"Morogrim Marcheur-des-flots",,,,,,,,,,,,,,0xFF01FE,,
628,548,0,5000,5,,,"Dame Vashj",,,,,,,,,,,,,,0xFF01FE,,
730,550,0,0,0,,,"Al'ar",,,,,,,,,,,,,,0xFF01FE,,
731,550,0,1000,1,,,"Saccageur du Vide",,,,,,,,,,,,,,0xFF01FE,,
732,550,0,2000,2,,,"Grande astromancienne Solarian",,,,,,,,,,,,,,0xFF01FE,,
733,550,0,3000,3,,,"Kael'thas Haut-soleil",,,,,,,,,,,,,,0xFF01FE,,
494,552,0,0,0,,,"Zereketh le Délié",,,,,,,,,,,,,,0xFF01FE,,
495,552,1,1000,0,,,"Zereketh le Délié",,,,,,,,,,,,,,0xFF01FE,,
496,552,0,1000,1,,,"Dalliah l'Auspice-funeste",,,,,,,,,,,,,,0xFF01FE,,
497,552,1,2000,1,,,"Dalliah l'Auspice-funeste",,,,,,,,,,,,,,0xFF01FE,,
498,552,0,2000,2,,,"Scrute-courroux Soccothrates",,,,,,,,,,,,,,0xFF01FE,,
499,552,1,3000,2,,,"Scrute-courroux Soccothrates",,,,,,,,,,,,,,0xFF01FE,,
500,552,0,3000,3,,,"Messager Cieuriss",,,,,,,,,,,,,,0xFF01FE,,
501,552,1,4000,3,,,"Messager Cieuriss",,,,,,,,,,,,,,0xFF01FE,,
502,553,0,0,0,,,"Commandant Sarannis",,,,,,,,,,,,,,0xFF01FE,,
504,553,1,1000,0,,,"Commandant Sarannis",,,,,,,,,,,,,,0xFF01FE,,
505,553,0,1000,1,,,"Grand botaniste Freywinn",,,,,,,,,,,,,,0xFF01FE,,
506,553,1,2000,1,,,"Grand botaniste Freywinn",,,,,,,,,,,,,,0xFF01FE,,
507,553,0,2000,2,,,"Rirépine le Tendre",,,,,,,,,,,,,,0xFF01FE,,
508,553,1,3000,2,,,"Rirépine le Tendre",,,,,,,,,,,,,,0xFF01FE,,
509,553,0,3000,3,,,"Laj",,,,,,,,,,,,,,0xFF01FE,,
510,553,1,4000,3,,,"Laj",,,,,,,,,,,,,,0xFF01FE,,
511,553,0,4000,4,,,"Brise-dimension",,,,,,,,,,,,,,0xFF01FE,,
512,553,1,5000,4,,,"Brise-dimension",,,,,,,,,,,,,,0xFF01FE,,
513,554,0,0,0,,,"Mécano-seigneur Capacitus",,,,,,,,,,,,,,0xFF01FE,,
514,554,1,1000,0,,,"Mécano-seigneur Capacitus",,,,,,,,,,,,,,0xFF01FE,,
515,554,0,1000,1,,,"Néantomancienne Sepethrea",,,,,,,,,,,,,,0xFF01FE,,
516,554,1,2000,1,,,"Néantomancienne Sepethrea",,,,,,,,,,,,,,0xFF01FE,,
517,554,0,2000,2,,,"Pathaleon le Calculateur",,,,,,,,,,,,,,0xFF01FE,,
518,554,1,3000,2,,,"Pathaleon le Calculateur",,,,,,,,,,,,,,0xFF01FE,,
208,555,0,0,0,,,"Ambassadeur Gueule-d'enfer",,,,,,,,,,,,,,0xFF01FE,,
255,555,1,0,0,,,"Ambassadeur Gueule-d'enfer",,,,,,,,,,,,,,0xFF01FE,,
209,555,0,1000,1,,,"Coeur-noir le Séditieux",,,,,,,,,,,,,,0xFF01FE,,
256,555,1,1000,1,,,"Coeur-noir le Séditieux",,,,,,,,,,,,,,0xFF01FE,,
210,555,0,2000,2,,,"Grand Maître Vorpil",,,,,,,,,,,,,,0xFF01FE,,
257,555,1,2000,2,,,"Grand Maître Vorpil",,,,,,,,,,,,,,0xFF01FE,,
211,555,0,3000,3,,,"Marmon",,,,,,,,,,,,,,0xFF01FE,,
258,555,1,3000,3,,,"Marmon",,,,,,,,,,,,,,0xFF01FE,,
206,556,0,0,0,,,"Tisseur d'ombre Syth",,,,,,,,,,,,,,0xFF01FE,,
252,556,1,0,0,,,"Tisseur d'ombre Syth",,,,,,,,,,,,,,0xFF01FE,,
207,556,0,1000,1,,,"Roi-serre Ikiss",,,,,,,,,,,,,,0xFF01FE,,
253,556,1,1000,1,,,"Anzu",,,,,,,,,,,,,,0xFF01FE,,
254,556,1,2000,2,,,"Roi-serre Ikiss",,,,,,,,,,,,,,0xFF01FE,,
203,557,0,0,0,,,"Pandemonius",,,,,,,,,,,,,,0xFF01FE,,
248,557,1,0,0,,,"Pandemonius",,,,,,,,,,,,,,0xFF01FE,,
204,557,0,1000,1,,,"Tavarok",,,,,,,,,,,,,,0xFF01FE,,
249,557,1,1000,1,,,"Tavarok",,,,,,,,,,,,,,0xFF01FE,,
250,557,1,1500,2,,,"Yor",,,,,,,,,,,,,,0xFF01FE,,
205,557,0,2000,2,,,"Prince-nexus Shaffar",,,,,,,,,,,,,,0xFF01FE,,
251,557,1,2500,3,,,"Prince-nexus Shaffar",,,,,,,,,,,,,,0xFF01FE,,
201,558,0,0,0,,,"Shirrak le Veillemort",,,,,,,,,,,,,,0xFF01FE,,
246,558,1,0,0,,,"Shirrak le Veillemort",,,,,,,,,,,,,,0xFF01FE,,
202,558,0,1000,1,,,"Exarque Maladaar",,,,,,,,,,,,,,0xFF01FE,,
247,558,1,1000,1,,,"Exarque Maladaar",,,,,,,,,,,,,,0xFF01FE,,
286,560,1,-1000,2,,,"Lieutenant Drake",,,,,,,,,,,,,,0xFF01FE,,
285,560,0,1000,2,,,"Lieutenant Drake",,,,,,,,,,,,,,0xFF01FE,,
283,560,0,2000,1,,,"Capitaine Skarloc",,,,,,,,,,,,,,0xFF01FE,,
284,560,1,2000,1,,,"Capitaine Skarloc",,,,,,,,,,,,,,0xFF01FE,,
281,560,0,3000,0,,,"Chasseur d'époques",,,,,,,,,,,,,,0xFF01FE,,
282,560,1,3000,0,,,"Chasseur d'époques",,,,,,,,,,,,,,0xFF01FE,,
601,564,0,0,0,,,"Grand seigneur de guerre Naj'entus",,,,,,,,,,,,,,0xFF01FE,,
602,564,0,1000,1,,,"Supremus",,,,,,,,,,,,,,0xFF01FE,,
603,564,0,2000,2,,,"Ombre d'Akama",,,,,,,,,,,,,,0xFF01FE,,
604,564,0,3000,3,,,"Teron Fielsang",,,,,,,,,,,,,,0xFF01FE,,
605,564,0,4000,4,,,"Gurtogg Fièvresang",,,,,,,,,,,,,,0xFF01FE,,
606,564,0,5000,5,,,"Reliquaire des âmes",,,,,,,,,,,,,,0xFF01FE,,
607,564,0,6000,6,,,"Mère Shahraz",,,,,,,,,,,,,,0xFF01FE,,
608,564,0,7000,7,,,"Le conseil illidari",,,,,,,,,,,,,,0xFF01FE,,
609,564,0,8000,8,,,"Illidan Hurlorage",,,,,,,,,,,,,,0xFF01FE,,
649,565,0,0,0,,,"Haut Roi Maulgar",,,,,,,,,,,,,,0xFF01FE,,
650,565,0,1000,1,,,"Gruul le Tue-dragon",,,,,,,,,,,,,,0xFF01FE,,
778,568,0,0,0,,,"Akil'zon",,,,,,,,,,,,,,0xFF01FE,,
779,568,0,1000,1,,,"Nalorakk",,,,,,,,,,,,,,0xFF01FE,,
780,568,0,2000,2,,,"Jan'alai",,,,,,,,,,,,,,0xFF01FE,,
781,568,0,3000,3,,,"Halazzi",,,,,,,,,,,,,,0xFF01FE,,
782,568,0,4000,4,,,"Seigneur des maléfices Malacrass",,,,,,,,,,,,,,0xFF01FE,,
783,568,0,5000,5,,,"Zul'jin",,,,,,,,,,,,,,0xFF01FE,,
571,574,0,0,0,,,"Prince Keleseth",,,,,,,,,,,,,,0xFF01FE,,
572,574,1,1000,0,,,"Prince Keleseth",,,,,,,,,,,,,,0xFF01FE,,
573,574,0,1000,1,,,"Skarvald et Dalronn",,,,,,,,,,,,,,0xFF01FE,,
574,574,1,2000,1,,,"Skarvald et Dalronn",,,,,,,,,,,,,,0xFF01FE,,
575,574,0,2000,2,,,"Ingvar le Pilleur",,,,,,,,,,,,,,0xFF01FE,,
576,574,1,3000,2,,,"Ingvar le Pilleur",,,,,,,,,,,,,,0xFF01FE,,
577,575,0,0,0,,,"Svala Tristetombe",,,,,,,,,,,,,,0xFF01FE,,
578,575,1,1000,0,,,"Svala Tristetombe",,,,,,,,,,,,,,0xFF01FE,,
579,575,0,1000,1,,,"Gortok Pâle-sabot",,,,,,,,,,,,,,0xFF01FE,,
580,575,1,2000,1,,,"Gortok Pâle-sabot",,,,,,,,,,,,,,0xFF01FE,,
581,575,0,2000,2,,,"Skadi le Brutal",,,,,,,,,,,,,,0xFF01FE,,
582,575,1,3000,2,,,"Skadi le Brutal",,,,,,,,,,,,,,0xFF01FE,,
583,575,0,3000,3,,,"Roi Ymiron",,,,,,,,,,,,,,0xFF01FE,,
584,575,1,4000,3,,,"Roi Ymiron",,,,,,,,,,,,,,0xFF01FE,,
519,576,1,0,0,,,"Commandant gelé",,,,,,,,,,,,,,0xFF01FE,,
520,576,0,0,0,,,"Grand magus Telestra",,,,,,,,,,,,,,0xFF01FE,,
521,576,1,1000,1,,,"Grand magus Telestra",,,,,,,,,,,,,,0xFF01FE,,
522,576,0,1000,1,,,"Anomalus",,,,,,,,,,,,,,0xFF01FE,,
523,576,1,2000,2,,,"Anomalus",,,,,,,,,,,,,,0xFF01FE,,
524,576,0,2000,2,,,"Ormorok le Sculpte-arbre",,,,,,,,,,,,,,0xFF01FE,,
525,576,1,3000,3,,,"Ormorok le Sculpte-arbre",,,,,,,,,,,,,,0xFF01FE,,
526,576,0,3000,3,,,"Keristrasza",,,,,,,,,,,,,,0xFF01FE,,
527,576,1,4000,4,,,"Keristrasza",,,,,,,,,,,,,,0xFF01FE,,
528,578,0,0,0,,,"Drakos l'Interrogateur",,,,,,,,,,,,,,0xFF01FE,,
529,578,1,1000,0,,,"Drakos l'Interrogateur",,,,,,,,,,,,,,0xFF01FE,,
530,578,0,1000,1,,,"Varos Arpentenuée",,,,,,,,,,,,,,0xFF01FE,,
531,578,1,2000,1,,,"Varos Arpentenuée",,,,,,,,,,,,,,0xFF01FE,,
532,578,0,2000,2,,,"Seigneur-mage Urom",,,,,,,,,,,,,,0xFF01FE,,
533,578,1,3000,2,,,"Seigneur-mage Urom",,,,,,,,,,,,,,0xFF01FE,,
534,578,0,3000,3,,,"Gardien-tellurique Eregos",,,,,,,,,,,,,,0xFF01FE,,
535,578,1,4000,3,,,"Gardien-tellurique Eregos",,,,,,,,,,,,,,0xFF01FE,,
724,580,0,0,0,,,"Kalecgos",,,,,,,,,,,,,,0xFF01FE,,
725,580,0,1000,1,,,"Brutallus",,,,,,,,,,,,,,0xFF01FE,,
726,580,0,2000,2,,,"Gangrebrume",,,,,,,,,,,,,,0xFF01FE,,
727,580,0,3000,3,,,"Jumelles érédars",,,,,,,,,,,,,,0xFF01FE,,
728,580,0,4000,4,,,"M'uru",,,,,,,,,,,,,,0xFF01FE,,
729,580,0,5000,5,,,"Kil'jaeden",,,,,,,,,,,,,,0xFF01FE,,
414,585,0,0,0,,,"Selin Coeur-de-feu",,,,,,,,,,,,,,0xFF01FE,,
415,585,1,1000,0,,,"Selin Coeur-de-feu",,,,,,,,,,,,,,0xFF01FE,,
416,585,0,1000,1,,,"Vexallus",,,,,,,,,,,,,,0xFF01FE,,
417,585,1,2000,1,,,"Vexallus",,,,,,,,,,,,,,0xFF01FE,,
418,585,0,2000,2,,,"Prêtresse Delrissa",,,,,,,,,,,,,,0xFF01FE,,
419,585,1,3000,2,,,"Prêtresse Delrissa",,,,,,,,,,,,,,0xFF01FE,,
420,585,0,3000,3,,,"Kael'thas Haut-soleil",,,,,,,,,,,,,,0xFF01FE,,
421,585,1,4000,3,,,"Kael'thas Haut-soleil",,,,,,,,,,,,,,0xFF01FE,,
293,595,0,0,0,,,"Grancrochet",,,,,,,,,,,,,,0xFF01FE,,
297,595,1,0,0,,,"Grancrochet",,,,,,,,,,,,,,0xFF01FE,,
294,595,0,1000,1,,,"Salramm le Façonneur de chair",,,,,,,,,,,,,,0xFF01FE,,
298,595,1,1000,1,,,"Salramm le Façonneur de chair",,,,,,,,,,,,,,0xFF01FE,,
295,595,0,2000,2,,,"Chronoseigneur Epoque",,,,,,,,,,,,,,0xFF01FE,,
299,595,1,2000,2,,,"Chronoseigneur Epoque",,,,,,,,,,,,,,0xFF01FE,,
296,595,0,3000,3,,,"Mal'ganis",,,,,,,,,,,,,,0xFF01FE,,
300,595,1,3000,3,,,"Mal'ganis",,,,,,,,,,,,,,0xFF01FE,,
563,599,0,0,0,,,"Krystallus",,,,,,,,,,,,,,0xFF01FE,,
564,599,1,1000,0,,,"Krystallus",,,,,,,,,,,,,,0xFF01FE,,
565,599,0,1000,1,,,"Damoiselle de peine",,,,,,,,,,,,,,0xFF01FE,,
566,599,1,2000,1,,,"Damoiselle de peine",,,,,,,,,,,,,,0xFF01FE,,
567,599,0,2000,2,,,"Tribunal des Âges",,,,,,,,,,,,,,0xFF01FE,,
568,599,1,3000,2,,,"Tribunal des Âges",,,,,,,,,,,,,,0xFF01FE,,
569,599,0,3000,3,,,"Sjonnir le Sculptefer",,,,,,,,,,,,,,0xFF01FE,,
570,599,1,4000,3,,,"Sjonnir le Sculptefer",,,,,,,,,,,,,,0xFF01FE,,
369,600,0,0,0,,,"Trollétripe",,,,,,,,,,,,,,0xFF01FE,,
370,600,1,1000,0,,,"Trollétripe",,,,,,,,,,,,,,0xFF01FE,,
371,600,0,1000,1,,,"Novos l'Invocateur",,,,,,,,,,,,,,0xFF01FE,,
372,600,1,2000,1,,,"Novos l'Invocateur",,,,,,,,,,,,,,0xFF01FE,,
373,600,0,2000,2,,,"Roi Dred",,,,,,,,,,,,,,0xFF01FE,,
374,600,1,3000,2,,,"Roi Dred",,,,,,,,,,,,,,0xFF01FE,,
375,600,0,3000,3,,,"Le prophète Tharon'ja",,,,,,,,,,,,,,0xFF01FE,,
376,600,1,4000,3,,,"Le prophète Tharon'ja",,,,,,,,,,,,,,0xFF01FE,,
216,601,0,0,0,,,"Krik'thir le Gardien de porte",,,,,,,,,,,,,,0xFF01FE,,
264,601,1,0,0,,,"Krik'thir le Gardien de porte",,,,,,,,,,,,,,0xFF01FE,,
217,601,0,1000,1,,,"Hadronox",,,,,,,,,,,,,,0xFF01FE,,
265,601,1,1000,1,,,"Hadronox",,,,,,,,,,,,,,0xFF01FE,,
218,601,0,2000,2,,,"Anub'arak",,,,,,,,,,,,,,0xFF01FE,,
266,601,1,2000,2,,,"Anub'arak",,,,,,,,,,,,,,0xFF01FE,,
555,602,0,0,0,,,"Général Bjarngrim",,,,,,,,,,,,,,0xFF01FE,,
556,602,1,1000,0,,,"Général Bjarngrim",,,,,,,,,,,,,,0xFF01FE,,
557,602,0,1000,1,,,"Volkhan",,,,,,,,,,,,,,0xFF01FE,,
558,602,1,2000,1,,,"Volkhan",,,,,,,,,,,,,,0xFF01FE,,
559,602,0,2000,2,,,"Ionar",,,,,,,,,,,,,,0xFF01FE,,
560,602,1,3000,2,,,"Ionar",,,,,,,,,,,,,,0xFF01FE,,
561,602,0,3000,3,,,"Loken",,,,,,,,,,,,,,0xFF01FE,,
562,602,1,4000,3,,,"Loken",,,,,,,,,,,,,,0xFF01FE,,
744,603,0,0,0,,,"Léviathan des flammes",,,,,,,,,,,,,,0xFF01FE,,
758,603,1,0,0,,,"Léviathan des flammes",,,,,,,,,,,,,,0xFF01FE,,
745,603,0,1000,1,,,"Ignis le maître de la Fournaise",,,,,,,,,,,,,,0xFF01FE,,
759,603,1,1000,1,,,"Ignis le maître de la Fournaise",,,,,,,,,,,,,,0xFF01FE,,
746,603,0,2000,2,,,"Tranchécaille",,,,,,,,,,,,,,0xFF01FE,,
747,603,0,3000,3,,,"Déconstructeur XT-002",,,,,,,,,,,,,,0xFF01FE,,
748,603,0,4000,4,,,"Le conseil de fer",,,,,,,,,,,,,,0xFF01FE,,
760,603,1,4500,2,,,"Tranchécaille",,,,,,,,,,,,,,0xFF01FE,,
749,603,0,5000,5,,,"Kologarn",,,,,,,,,,,,,,0xFF01FE,,
761,603,1,5500,3,,,"Déconstructeur XT-002",,,,,,,,,,,,,,0xFF01FE,,
750,603,0,6000,6,,,"Auriaya",,,,,,,,,,,,,,0xFF01FE,,
762,603,1,6500,4,,,"Le conseil de fer",,,,,,,,,,,,,,0xFF01FE,,
751,603,0,7000,7,,,"Hodir",,,,,,,,,,,,,,0xFF01FE,,
763,603,1,7500,5,,,"Kologarn",,,,,,,,,,,,,,0xFF01FE,,
752,603,0,8000,8,,,"Thorim",,,,,,,,,,,,,,0xFF01FE,,
764,603,1,8500,6,,,"Auriaya",,,,,,,,,,,,,,0xFF01FE,,
753,603,0,9000,9,,,"Freya",,,,,,,,,,,,,,0xFF01FE,,
765,603,1,9500,7,,,"Hodir",,,,,,,,,,,,,,0xFF01FE,,
754,603,0,10000,10,,,"Mimiron",,,,,,,,,,,,,,0xFF01FE,,
766,603,1,10500,8,,,"Thorim",,,,,,,,,,,,,,0xFF01FE,,
755,603,0,11000,11,,,"Général Vezax",,,,,,,,,,,,,,0xFF01FE,,
767,603,1,11500,9,,,"Freya",,,,,,,,,,,,,,0xFF01FE,,
756,603,0,12000,12,,,"Yogg-Saron",,,,,,,,,,,,,,0xFF01FE,,
768,603,1,12500,10,,,"Mimiron",,,,,,,,,,,,,,0xFF01FE,,
757,603,0,13000,13,,,"Algalon l'Observateur",,,,,,,,,,,,,,0xFF01FE,,
769,603,1,13500,11,,,"Général Vezax",,,,,,,,,,,,,,0xFF01FE,,
770,603,1,14500,12,,,"Yogg-Saron",,,,,,,,,,,,,,0xFF01FE,,
771,603,1,15500,13,,,"Algalon l'Observateur",,,,,,,,,,,,,,0xFF01FE,,
383,604,0,0,0,,,"Slad'ran",,,,,,,,,,,,,,0xFF01FE,,
384,604,1,1000,0,,,"Slad'ran",,,,,,,,,,,,,,0xFF01FE,,
385,604,0,1000,1,,,"Colosse drakkari",,,,,,,,,,,,,,0xFF01FE,,
386,604,1,2000,1,,,"Colosse drakkari",,,,,,,,,,,,,,0xFF01FE,,
387,604,0,2000,2,,,"Moorabi",,,,,,,,,,,,,,0xFF01FE,,
388,604,1,3000,2,,,"Moorabi",,,,,,,,,,,,,,0xFF01FE,,
390,604,0,3000,3,,,"Gal'darah",,,,,,,,,,,,,,0xFF01FE,,
389,604,1,4000,3,,,"Eck le Féroce",,,,,,,,,,,,,,0xFF01FE,,
391,604,1,5000,4,,,"Gal'darah",,,,,,,,,,,,,,0xFF01FE,,
541,608,0,0,0,,,"Premier prisonnier",,,,,,,,,,,,,,0xFF01FE,,
542,608,1,1000,0,,,"Premier prisonnier",,,,,,,,,,,,,,0xFF01FE,,
543,608,0,1000,1,,,"Second prisonnier",,,,,,,,,,,,,,0xFF01FE,,
544,608,1,2000,1,,,"Second prisonnier",,,,,,,,,,,,,,0xFF01FE,,
545,608,0,2000,2,,,"Cyanigosa",,,,,,,,,,,,,,0xFF01FE,,
546,608,1,3000,2,,,"Cyanigosa",,,,,,,,,,,,,,0xFF01FE,,
740,615,0,-1000,2,,,"Vespéron",,,,,,,,,,,,,,0xFF01FE,,
736,615,0,0,0,,,"Ténébron",,,,,,,,,,,,,,0xFF01FE,,
741,615,1,0,2,,,"Vespéron",,,,,,,,,,,,,,0xFF01FE,,
737,615,1,1000,0,,,"Ténébron",,,,,,,,,,,,,,0xFF01FE,,
738,615,0,1000,1,,,"Obscuron",,,,,,,,,,,,,,0xFF01FE,,
739,615,1,2000,1,,,"Obscuron",,,,,,,,,,,,,,0xFF01FE,,
742,615,0,3000,3,,,"Sartharion",,,,,,,,,,,,,,0xFF01FE,,
743,615,1,4000,3,,,"Sartharion",,,,,,,,,,,,,,0xFF01FE,,
734,616,0,0,0,,,"Malygos",,,,,,,,,,,,,,0xFF01FE,,
735,616,1,1000,0,,,"Malygos",,,,,,,,,,,,,,0xFF01FE,,
212,619,0,0,0,,,"Ancien Nadox",,,,,,,,,,,,,,0xFF01FE,,
259,619,1,0,0,,,"Ancien Nadox",,,,,,,,,,,,,,0xFF01FE,,
213,619,0,1000,1,,,"Prince Taldaram",,,,,,,,,,,,,,0xFF01FE,,
260,619,1,1000,1,,,"Prince Taldaram",,,,,,,,,,,,,,0xFF01FE,,
214,619,0,2000,2,,,"Jedoga Cherchelombre",,,,,,,,,,,,,,0xFF01FE,,
261,619,1,2000,2,,,"Jedoga Cherchelombre",,,,,,,,,,,,,,0xFF01FE,,
215,619,0,3000,3,,,"Héraut Volazj",,,,,,,,,,,,,,0xFF01FE,,
262,619,1,3000,3,,,"Amanitar",,,,,,,,,,,,,,0xFF01FE,,
263,619,1,4000,4,,,"Héraut Volazj",,,,,,,,,,,,,,0xFF01FE,,
772,624,0,0,0,,,"Archavon le Gardien des pierres",,,,,,,,,,,,,,0xFF01FE,,
773,624,1,1000,0,,,"Archavon le Gardien des pierres",,,,,,,,,,,,,,0xFF01FE,,
774,624,0,1000,1,,,"Emalon le Guetteur d'orage",,,,,,,,,,,,,,0xFF01FE,,
775,624,1,2000,1,,,"Emalon le Guetteur d'orage",,,,,,,,,,,,,,0xFF01FE,,
776,624,0,2000,2,,,"Koralon le Veilleur des flammes",,,,,,,,,,,,,,0xFF01FE,,
777,624,1,3000,2,,,"Koralon le Veilleur des flammes",,,,,,,,,,,,,,0xFF01FE,,
885,624,0,3000,3,,,"Toravon la Sentinelle de glace",,,,,,,,,,,,,,0xFF01FE,,
886,624,1,4000,3,,,"Toravon la Sentinelle de glace",,,,,,,,,,,,,,0xFF01FE,,
845,631,0,0,0,,,"Seigneur Gargamoelle",,,,,,,,,,,,,,0xFF01FE,,
857,631,1,0,0,,,"Seigneur Gargamoelle",,,,,,,,,,,,,,0xFF01FE,,
846,631,0,1000,1,,,"Dame Murmemort",,,,,,,,,,,,,,0xFF01FE,,
858,631,1,1000,1,,,"Dame Murmemort",,,,,,,,,,,,,,0xFF01FE,,
847,631,0,2000,2,,,"Bataille des canonnières de la Couronne de glace",,,,,,,,,,,,,,0xFF01FE,,
859,631,1,2000,2,,,"Bataille des canonnières de la Couronne de glace",,,,,,,,,,,,,,0xFF01FE,,
848,631,0,3000,3,,,"Porte-mort Saurcroc",,,,,,,,,,,,,,0xFF01FE,,
860,631,1,3000,3,,,"Porte-mort Saurcroc",,,,,,,,,,,,,,0xFF01FE,,
849,631,0,4000,4,,,"Pulentraille",,,,,,,,,,,,,,0xFF01FE,,
861,631,1,4000,4,,,"Pulentraille",,,,,,,,,,,,,,0xFF01FE,,
850,631,0,5000,5,,,"Trognepus",,,,,,,,,,,,,,0xFF01FE,,
862,631,1,5000,5,,,"Trognepus",,,,,,,,,,,,,,0xFF01FE,,
851,631,0,6000,6,,,"Professeur Putricide",,,,,,,,,,,,,,0xFF01FE,,
863,631,1,6000,6,,,"Professeur Putricide",,,,,,,,,,,,,,0xFF01FE,,
852,631,0,7000,7,,,"Conseil de sang",,,,,,,,,,,,,,0xFF01FE,,
864,631,1,7000,7,,,"Conseil de sang",,,,,,,,,,,,,,0xFF01FE,,
853,631,0,8000,8,,,"Reine Lana'thel",,,,,,,,,,,,,,0xFF01FE,,
865,631,1,8000,8,,,"Reine Lana'thel",,,,,,,,,,,,,,0xFF01FE,,
854,631,0,9000,9,,,"Valithria Marcherêve",,,,,,,,,,,,,,0xFF01FE,,
866,631,1,9000,9,,,"Valithria Marcherêve",,,,,,,,,,,,,,0xFF01FE,,
855,631,0,10000,10,,,"Sindragosa",,,,,,,,,,,,,,0xFF01FE,,
867,631,1,10000,10,,,"Sindragosa",,,,,,,,,,,,,,0xFF01FE,,
856,631,0,11000,11,,,"Le roi-liche",,,,,,,,,,,,,,0xFF01FE,,
868,631,1,11000,11,,,"Le roi-liche",,,,,,,,,,,,,,0xFF01FE,,
829,632,0,0,0,,,"Bronjahm",,,,,,,,,,,,,,0xFF01FE,,
830,632,1,1000,0,,,"Bronjahm",,,,,,,,,,,,,,0xFF01FE,,
831,632,0,1000,1,,,"Dévoreur d'âmes",,,,,,,,,,,,,,0xFF01FE,,
832,632,1,2000,1,,,"Dévoreur d'âmes",,,,,,,,,,,,,,0xFF01FE,,
629,649,0,0,0,,,"Bêtes du Norfendre",,,,,,,,,,,,,,0xFF01FE,,
630,649,1,1000,0,,,"Bêtes du Norfendre",,,,,,,,,,,,,,0xFF01FE,,
633,649,0,1000,1,,,"Seigneur Jaraxxus",,,,,,,,,,,,,,0xFF01FE,,
631,649,2,2000,0,,,"Bêtes du Norfendre",,,,,,,,,,,,,,0xFF01FE,,
634,649,1,2000,1,,,"Seigneur Jaraxxus",,,,,,,,,,,,,,0xFF01FE,,
637,649,0,2000,2,,,"Champions de faction",,,,,,,,,,,,,,0xFF01FE,,
632,649,3,3000,0,,,"Bêtes du Norfendre",,,,,,,,,,,,,,0xFF01FE,,
635,649,2,3000,1,,,"Seigneur Jaraxxus",,,,,,,,,,,,,,0xFF01FE,,
638,649,1,3000,2,,,"Champions de faction",,,,,,,,,,,,,,0xFF01FE,,
641,649,0,3000,3,,,"Les jumelles val'kyrs",,,,,,,,,,,,,,0xFF01FE,,
636,649,3,4000,1,,,"Seigneur Jaraxxus",,,,,,,,,,,,,,0xFF01FE,,
639,649,2,4000,2,,,"Champions de faction",,,,,,,,,,,,,,0xFF01FE,,
642,649,1,4000,3,,,"Les jumelles val'kyrs",,,,,,,,,,,,,,0xFF01FE,,
645,649,0,4000,4,,,"Anub'arak",,,,,,,,,,,,,,0xFF01FE,,
640,649,3,5000,2,,,"Champions de faction",,,,,,,,,,,,,,0xFF01FE,,
643,649,2,5000,3,,,"Les jumelles val'kyrs",,,,,,,,,,,,,,0xFF01FE,,
646,649,1,5000,4,,,"Anub'arak",,,,,,,,,,,,,,0xFF01FE,,
644,649,3,6000,3,,,"Les jumelles val'kyrs",,,,,,,,,,,,,,0xFF01FE,,
647,649,2,6000,4,,,"Anub'arak",,,,,,,,,,,,,,0xFF01FE,,
648,649,3,7000,4,,,"Anub'arak",,,,,,,,,,,,,,0xFF01FE,,
334,650,0,0,0,,,"Grands champions",,,,,,,,,,,,,,0xFF01FE,,
336,650,1,1000,0,,,"Grands champions",,,,,,,,,,,,,,0xFF01FE,,
338,650,0,1000,1,,,"Champion d'argent",,,,,,,,,,,,,,0xFF01FE,,
339,650,1,2000,1,,,"Champion d'argent",,,,,,,,,,,,,,0xFF01FE,,
340,650,0,2000,2,,,"Le Chevalier noir",,,,,,,,,,,,,,0xFF01FE,,
341,650,1,3000,2,,,"Le Chevalier noir",,,,,,,,,,,,,,0xFF01FE,,
833,658,0,0,0,,,"Maître-forge Gargivre",,,,,,,,,,,,,,0xFF01FE,,
834,658,1,1000,0,,,"Maître-forge Gargivre",,,,,,,,,,,,,,0xFF01FE,,
