long,long,long,long,long,long,long,long,long,long,long,long,long,long,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,flags,long,long,long,long,long,long,long,
2822,0,5,0,0,0,0,0,0,0,0,32,0,0,"","","+$i au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2823,0,5,0,0,0,0,0,0,0,0,32,0,0,"","","+$i au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2824,0,5,0,0,0,0,0,0,0,0,45,0,0,"","","+$i à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2825,0,5,0,0,0,0,0,0,0,0,38,0,0,"","","+$i à la puissance d'attaque","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2826,0,5,0,0,0,0,0,0,0,0,15,0,0,"","","+$i au score de blocage","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2827,0,5,3,0,14,0,0,14,0,0,32,11818,0,"","","+14 au score de critique et 1% de renvoi de sort","","","","","","","","","","","","","",0xFF01FE,0,0,25890,64,0,0,0,
2828,0,3,0,0,0,0,0,0,0,0,32837,0,0,"","","Chance d'augmenter la vitesse d'incantation des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,25893,30,0,0,0,
2829,0,5,3,0,24,0,0,24,0,0,38,23990,0,"","","+24 à la puissance d'attaque et légère augmentation de la vitesse de course","","","","","","","","","","","","","",0xFF01FE,0,0,25894,63,0,0,0,
2830,0,5,3,0,12,0,0,12,0,0,32,55378,0,"","","+12 au score de coup critique et durées des ralentissements/immobilisations réduites de 10%","","","","","","","","","","","","","",0xFF01FE,0,0,25895,32,0,0,0,
2831,0,5,3,0,18,0,0,18,0,0,7,55358,0,"","","+18 à l'Endurance et durée d'Étourdissement réduite de 15%.","","","","","","","","","","","","","",0xFF01FE,0,0,25896,33,0,0,0,
2832,0,5,3,0,14,0,0,14,0,0,45,32842,0,"","","+14 à la puissance des sorts et 2% de réduction de la menace","","","","","","","","","","","","","",0xFF01FE,0,0,25897,34,0,0,0,
2833,0,5,3,0,12,0,0,12,0,0,12,32844,0,"","","+12 au score de défense et une chance de rendre des points de vie au toucher","","","","","","","","","","","","","",0xFF01FE,0,0,25898,35,0,0,0,
2834,0,3,3,0,0,0,0,0,0,0,26598,37982,0,"","","+3 aux dégâts en mêlée et une chance d'étourdir la cible","","","","","","","","","","","","","",0xFF01FE,0,0,25899,36,0,0,0,
2835,0,5,3,0,12,0,0,12,0,0,5,27521,0,"","","+12 Intelligence et une chance de restaurer des points de mana au lancement d'un sort","","","","","","","","","","","","","",0xFF01FE,0,0,25901,66,0,0,0,
2836,0,5,0,0,3,0,0,3,0,0,43,0,0,"","","3 point de mana toutes les 5 sec.","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2837,0,5,0,0,7,0,0,7,0,0,6,0,0,"","","+7 Esprit","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2838,0,5,0,0,7,0,0,7,0,0,32,0,0,"","","+7 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2839,0,5,0,0,14,0,0,14,0,0,32,0,0,"","","+14 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2840,0,5,0,0,21,0,0,21,0,0,7,0,0,"","","+21 Endurance","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2841,0,5,0,0,10,0,0,10,0,0,7,0,0,"","","+10 Endurance","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2842,0,5,0,0,8,0,0,8,0,0,6,0,0,"","","+8 Esprit","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2843,0,5,0,0,8,0,0,8,0,0,32,0,0,"","","+8 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2844,0,5,0,0,8,0,0,8,0,0,31,0,0,"","","+8 au score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2845,0,5,0,0,11,0,0,11,0,0,31,0,0,"","","+11 aux score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2846,0,5,0,0,4,0,0,4,0,0,43,0,0,"","","4 points de mana toutes les 5 sec.","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2847,0,5,0,0,4,0,0,4,0,0,43,0,0,"","","4 points de mana toutes les 5 sec.","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2848,0,5,0,0,5,0,0,5,0,0,43,0,0,"","","5 points de mana toutes les 5 sec.","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2849,0,5,0,0,0,0,0,0,0,0,13,0,0,"","","+7 au score d'esquive","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2850,0,5,0,0,13,0,0,13,0,0,32,0,0,"","","+13 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2851,0,5,0,0,19,0,0,19,0,0,7,0,0,"","","+19 Endurance","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2852,0,5,0,0,7,0,0,7,0,0,43,0,0,"","","7 points de mana toutes les 5 sec.","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2853,0,5,0,0,8,0,0,8,0,0,43,0,0,"","","8 points de mana toutes les 5 sec.","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2854,0,5,0,0,3,0,0,3,0,0,43,0,0,"","","3 point de mana toutes les 5 sec.","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2855,0,5,0,0,5,0,0,5,0,0,43,0,0,"","","5 points de mana toutes les 5 sec.","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2856,0,5,0,0,4,0,0,4,0,0,35,0,0,"","","+4 au score de résilience","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2857,0,5,0,0,2,0,0,2,0,0,19,0,0,"","","+2 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2858,0,5,0,0,2,0,0,2,0,0,19,0,0,"","","+2 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2859,0,5,0,0,3,0,0,3,0,0,35,0,0,"","","+3 au score de résilience","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2860,0,5,0,0,3,0,0,3,0,0,31,0,0,"","","+3 au score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2861,0,5,0,0,3,0,0,3,0,0,12,0,0,"","","+3 au score de défense","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2862,0,5,0,0,3,0,0,3,0,0,35,0,0,"","","+3 au score de résilience","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2863,0,5,0,0,3,0,0,3,0,0,5,0,0,"","","+3 Intelligence","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2864,0,5,0,0,4,0,0,4,0,0,32,0,0,"","","+4 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2865,0,5,0,0,2,0,0,2,0,0,43,0,0,"","","+2 points de mana toutes les 5 sec.","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2866,0,5,0,0,3,0,0,3,0,0,6,0,0,"","","+3 Esprit","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2867,0,5,0,0,2,0,0,2,0,0,35,0,0,"","","+2 au score de résilience","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2868,0,5,0,0,6,0,0,6,0,0,7,0,0,"","","+6 Endurance","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2869,0,5,0,0,4,0,0,4,0,0,5,0,0,"","","+4 Intelligence","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2870,0,5,0,0,3,0,0,3,0,0,14,0,0,"","","+3 au score de parade","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2871,0,5,0,0,4,0,0,4,0,0,13,0,0,"","","+4 au score d'esquive","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2872,0,5,0,0,5,0,0,5,0,0,45,0,0,"","","+5 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2873,0,5,0,0,4,0,0,4,0,0,31,0,0,"","","+4 au score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2874,0,5,0,0,4,0,0,4,0,0,32,0,0,"","","+4 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2875,0,5,0,0,3,0,0,3,0,0,32,0,0,"","","+3 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2876,0,5,0,0,3,0,0,3,0,0,13,0,0,"","","+3 au score d'esquive","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2877,0,5,0,0,4,0,0,4,0,0,3,0,0,"","","+4 Agilité","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2878,0,5,0,0,4,0,0,4,0,0,35,0,0,"","","+4 au score de résilience","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2879,0,5,0,0,3,0,0,3,0,0,4,0,0,"","","+3 Force","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2880,0,5,0,0,3,0,0,3,0,0,31,0,0,"","","+3 au score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2881,0,5,0,0,1,0,0,1,0,0,43,0,0,"","","+1 point de mana toutes les 5 sec.","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2882,0,5,0,0,6,0,0,6,0,0,7,0,0,"","","+6 Endurance","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2883,0,5,0,0,4,0,0,4,0,0,7,0,0,"","","+4 Endurance","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2884,0,5,0,0,2,0,0,2,0,0,32,0,0,"","","+2 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2885,0,5,0,0,2,0,0,2,0,0,32,0,0,"","","+2 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2886,0,5,0,0,2,0,0,2,0,0,31,0,0,"","","+2 au score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2887,0,5,0,0,3,0,0,3,0,0,32,0,0,"","","+3 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2888,0,3,0,0,0,0,0,0,0,0,33088,0,0,"","","+6 à la valeur de blocage","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2889,0,5,0,0,5,0,0,5,0,0,45,0,0,"","","+5 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2890,0,5,0,0,4,0,0,4,0,0,6,0,0,"","","+4 Esprit","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2891,0,5,0,0,10,0,0,10,0,0,35,0,0,"","","+10 au score de résilience","","","","","","","","","","","","","",0xFF01FE,0,0,27679,0,0,0,0,
2892,0,5,0,0,4,0,0,4,0,0,4,0,0,"","","+4 Force","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2893,0,5,0,0,3,0,0,3,0,0,3,0,0,"","","+3 Agilité","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2894,0,5,0,0,7,0,0,7,0,0,4,0,0,"","","+ 7 Force","","","","","","","","","","","","","",0xFF01FE,0,0,27774,0,0,0,0,
2895,0,5,0,0,4,0,0,4,0,0,7,0,0,"","","+4 Endurance","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2896,0,5,0,0,8,0,0,8,0,0,45,0,0,"","","+8 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,27777,0,0,0,0,
2897,0,5,5,0,3,4,0,3,4,0,7,32,0,"","","+3 Endurance, +4 au score de critique","","","","","","","","","","","","","",0xFF01FE,0,0,27782,0,0,0,0,
2898,0,5,5,0,3,4,0,3,4,0,7,32,0,"","","+3 Endurance, +4 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,27785,0,0,0,0,
2899,0,5,5,0,3,4,0,3,4,0,7,32,0,"","","+3 Endurance, +4 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,27786,0,0,0,0,
2900,0,5,0,0,4,0,0,4,0,0,45,0,0,"","","+4 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2901,0,5,0,0,2,0,0,2,0,0,45,0,0,"","","+2 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2902,0,5,0,0,2,0,0,2,0,0,32,0,0,"","","+2 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2906,0,5,5,0,0,0,0,0,0,0,7,5,0,"","","+$i Endurance et +$i Intelligence","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2907,0,5,0,0,2,0,0,2,0,0,14,0,0,"","","+2 au score de parade","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2908,0,5,0,0,4,0,0,4,0,0,31,0,0,"","","+4 au score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2909,0,5,0,0,2,0,0,2,0,0,31,0,0,"","","+2 au score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2910,0,5,0,0,3,0,0,3,0,0,45,0,0,"","","+3 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2911,0,5,0,0,10,0,0,10,0,0,4,0,0,"","","+10 Force","","","","","","","","","","","","","",0xFF01FE,0,0,28117,0,0,0,0,
2912,0,5,0,0,12,0,0,12,0,0,45,0,0,"","","+12 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,28118,0,0,0,0,
2913,0,5,0,0,10,0,0,10,0,0,32,0,0,"","","+10 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,28119,0,0,0,0,
2914,0,5,0,0,10,0,0,10,0,0,32,0,0,"","","+10 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,28120,0,0,0,0,
2915,0,5,5,0,5,5,0,5,5,0,4,32,0,"","","+5 Force, +5 au score de critique","","","","","","","","","","","","","",0xFF01FE,0,0,28122,0,0,0,0,
2916,0,5,5,0,6,5,0,6,5,0,45,32,0,"","","+5 au score de coup critique et +6 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,28123,0,0,0,0,
2917,0,4,0,0,100,0,0,100,0,0,0,0,0,"","","test enchantement de gemme","","","","","","","","","","","","","",0xFF01FE,0,0,27864,0,0,0,0,
2918,0,5,5,0,3,4,0,3,4,0,7,32,0,"","","+3 Endurance, +4 au score de critique","","","","","","","","","","","","","",0xFF01FE,0,0,27786,0,0,0,0,
2919,0,5,0,0,7,0,0,7,0,0,4,0,0,"","","+ 7 Force","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2921,0,5,5,0,3,4,0,3,4,0,7,32,0,"","","+3 Endurance, +4 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,27809,0,0,0,0,
2922,0,5,0,0,7,0,0,7,0,0,4,0,0,"","","+ 7 Force","","","","","","","","","","","","","",0xFF01FE,0,0,27811,0,0,0,0,
2923,0,5,5,0,3,4,0,3,4,0,7,32,0,"","","+3 Endurance, +4 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,27820,0,0,0,0,
2924,0,5,0,0,8,0,0,8,0,0,45,0,0,"","","+8 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,27812,0,0,0,0,
2925,0,5,0,0,3,0,0,3,0,0,7,0,0,"","","+3 Endurance","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2926,0,5,0,0,2,0,0,2,0,0,13,0,0,"","","+2 au score d'esquive","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2927,0,5,0,0,4,0,0,4,0,0,4,0,0,"","","+4 Force","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2928,0,5,0,0,12,0,0,12,0,0,45,39508,0,"","","+12 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,333,350,0,
2929,0,3,0,0,2,0,0,2,0,0,26597,0,0,"","","+2 aux dégâts de l'arme","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,333,350,0,
2930,0,5,0,0,12,0,0,12,0,0,45,0,0,"","","+12 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,333,350,0,
2931,0,3,0,0,0,0,0,0,0,0,19988,0,0,"","","+4 à toutes les caractéristiques","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,333,350,0,
2932,0,5,0,0,4,0,0,4,0,0,12,0,0,"","","+4 au score de défense","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2933,0,5,0,0,15,0,0,15,0,0,35,0,0,"","","+15 au score de résilience","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2934,0,5,0,0,10,0,0,10,0,0,32,0,0,"","","+10 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2935,0,5,0,0,15,0,0,15,0,0,31,0,0,"","","+15 au score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2936,0,5,0,0,8,0,0,8,0,0,38,0,0,"","","+8 à la puissance d'attaque","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2937,0,5,0,0,20,0,0,20,0,0,45,0,0,"","","+20 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2938,0,3,0,0,0,0,0,0,0,0,26283,0,0,"","","+20 à la pénétration des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2939,0,3,5,0,0,6,0,0,6,0,13889,3,0,"","","Vitesse mineure et +6 à l'Agilité","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2940,0,3,5,0,0,9,0,0,9,0,13889,7,0,"","","Vitesse mineure et +9 à l'Endurance","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2941,0,5,0,0,2,0,0,2,0,0,31,0,0,"","","+2 au score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2942,0,5,0,0,6,0,0,6,0,0,32,0,0,"","","+6 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,28290,0,0,0,0,
2943,0,5,0,0,14,0,0,14,0,0,38,0,0,"","","+14 à la puissance d'attaque","","","","","","","","","","","","","",0xFF01FE,0,0,28360,0,0,0,0,
2944,0,5,0,0,14,0,0,14,0,0,38,0,0,"","","+14 à la puissance d'attaque","","","","","","","","","","","","","",0xFF01FE,0,0,28361,0,0,0,0,
2945,0,5,0,0,20,0,0,20,0,0,38,0,0,"","","+20 à la puissance d'attaque","","","","","","","","","","","","","",0xFF01FE,0,0,28362,0,0,0,0,
2946,0,5,5,0,10,5,0,10,5,0,38,32,0,"","","+10 à la puissance d'attaque, +5 au score de critique","","","","","","","","","","","","","",0xFF01FE,0,0,28363,0,0,0,0,
2947,0,3,0,0,0,0,0,0,0,0,18674,0,0,"","","+3 à toutes les résistances","","","","","","","","","","","","","",0xFF01FE,0,0,22460,0,0,0,0,
2948,0,3,0,0,0,0,0,0,0,0,18675,0,0,"","","+4 à toutes les résistances","","","","","","","","","","","","","",0xFF01FE,0,0,22459,0,0,0,0,
2949,0,5,0,0,20,0,0,20,0,0,38,0,0,"","","+20 à la puissance d'attaque","","","","","","","","","","","","","",0xFF01FE,0,0,28388,0,0,0,0,
2950,0,5,0,0,10,0,0,10,0,0,32,0,0,"","","+10 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,28389,0,0,0,0,
2951,0,5,0,0,4,0,0,4,0,0,32,0,0,"","","+4 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2952,0,5,0,0,4,0,0,4,0,0,32,0,0,"","","+4 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2953,0,5,0,0,2,0,0,2,0,0,45,0,0,"","","+2 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2954,0,2,0,0,12,0,0,12,0,0,0,0,0,"","","Équilibré (+12 points de dégâts)","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2955,0,5,2,0,14,12,0,14,12,0,32,0,0,"","","Équilibré (+14 au score de crit. et +12 aux points de dégâts)","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2956,0,5,0,0,4,0,0,4,0,0,4,0,0,"","","+4 Force","","","","","","","","","","","","","",0xFF01FE,0,0,28458,0,0,0,0,
2957,0,5,0,0,4,0,0,4,0,0,3,0,0,"","","+4 Agilité","","","","","","","","","","","","","",0xFF01FE,0,0,28459,0,0,0,0,
2958,0,5,0,0,5,0,0,5,0,0,45,0,0,"","","+5 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,28460,0,0,0,0,
2959,0,5,0,0,5,0,0,5,0,0,45,0,0,"","","+5 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,28461,0,0,0,0,
2960,0,5,0,0,8,0,0,8,0,0,38,0,0,"","","+8 à la puissance d'attaque","","","","","","","","","","","","","",0xFF01FE,0,0,28462,0,0,0,0,
2961,0,5,0,0,6,0,0,6,0,0,7,0,0,"","","+6 Endurance","","","","","","","","","","","","","",0xFF01FE,0,0,28463,0,0,0,0,
2962,0,5,0,0,4,0,0,4,0,0,6,0,0,"","","+4 Esprit","","","","","","","","","","","","","",0xFF01FE,0,0,28464,0,0,0,0,
2963,0,5,0,0,2,0,0,2,0,0,43,0,0,"","","+2 point de mana toutes les 5 secondes","","","","","","","","","","","","","",0xFF01FE,0,0,28465,0,0,0,0,
2964,0,5,0,0,4,0,0,4,0,0,5,0,0,"","","+4 Intelligence","","","","","","","","","","","","","",0xFF01FE,0,0,28466,0,0,0,0,
2965,0,5,0,0,4,0,0,4,0,0,32,0,0,"","","+4 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,28467,0,0,0,0,
2966,0,5,0,0,4,0,0,4,0,0,31,0,0,"","","+4 au score de toucher","","","","","","","","","","","","","",0xFF01FE,0,0,28468,0,0,0,0,
2967,0,5,0,0,4,0,0,4,0,0,32,0,0,"","","+4 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,0,28469,0,0,0,0,
2968,0,5,0,0,4,0,0,4,0,0,12,0,0,"","","+4 au score de défense","","","","","","","","","","","","","",0xFF01FE,0,0,28470,0,0,0,0,
2969,0,5,3,0,20,0,0,20,0,0,38,23990,0,"","","+20 à la puissance d'attaque et légère augmentation de la vitesse de course","","","","","","","","","","","","","",0xFF01FE,0,0,28556,61,0,0,0,
2970,0,5,3,0,12,0,0,12,0,0,45,23990,0,"","","+12 à la puissance des sorts et légère augmentation de la vitesse de course","","","","","","","","","","","","","",0xFF01FE,0,0,28557,62,0,0,0,
2971,0,5,0,0,12,0,0,12,0,0,38,0,0,"","","+12 à la puissance d'attaque","","","","","","","","","","","","","",0xFF01FE,0,0,28595,0,0,0,0,
2972,0,5,0,0,4,0,0,4,0,0,15,0,0,"","","+4 au score de blocage","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2973,0,5,0,0,6,0,0,6,0,0,38,0,0,"","","+6 à la puissance d'attaque","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2974,0,5,0,0,4,0,0,4,0,0,45,0,0,"","","+4 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2975,0,3,0,0,0,0,0,0,0,0,34773,0,0,"","","+5 à la valeur de blocage","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2976,0,5,0,0,2,0,0,2,0,0,12,0,0,"","","+2 au score de défense","","","","","","","","","","","","","",0xFF01FE,0,0,0,0,0,0,0,
2977,0,5,0,0,13,0,0,13,0,0,13,0,0,"","","+13 au score d'esquive","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,64,
2978,0,5,5,0,15,10,0,15,10,0,13,12,0,"","","+15 au score d'esquive et +10 au score de défense","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,70,
2979,0,5,0,0,15,0,0,15,0,0,45,0,0,"","","+15 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,64,
2980,0,5,5,0,18,5,0,18,5,0,45,43,0,"","","+18 à la puissance des sorts et +5 points de mana toutes les 5 secondes","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,70,
2981,0,5,0,0,15,0,0,15,0,0,45,0,0,"","","+15 à la puissance des sorts","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,64,
2982,0,5,5,0,18,10,0,18,10,0,45,32,0,"","","+18 à la puissance des sorts et +10 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,70,
2983,0,5,0,0,26,0,0,26,0,0,38,0,0,"","","+26 à la puissance d'attaque","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,64,
2984,0,4,0,0,8,0,0,8,0,0,5,0,0,"","","+8 à la résistance à l'Ombre","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,65,
2985,0,4,0,0,8,0,0,8,0,0,2,0,0,"","","+8 à la résistance au Feu","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,65,
2986,0,5,5,0,30,10,0,30,10,0,38,32,0,"","","+30 à la puissance d'attaque et +10 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,70,
2987,0,4,0,0,8,0,0,8,0,0,4,0,0,"","","+8 à la résistance au Givre","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,65,
2988,0,4,0,0,8,0,0,8,0,0,3,0,0,"","","+8 à la résistance à la Nature","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,65,
2989,0,4,0,0,8,0,0,8,0,0,6,0,0,"","","+8 à la résistance aux Arcanes","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,65,
2990,0,5,0,0,13,0,0,13,0,0,12,0,0,"","","+13 au score de défense","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,64,
2991,0,5,5,0,10,15,0,15,10,0,13,12,0,"","","+15 au score de défense et +10 au score d'esquive","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,70,
2992,0,5,0,0,6,0,0,6,0,0,43,0,0,"","","+6 Régén. de mana","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,64,
2993,0,5,5,0,12,8,0,12,8,0,45,43,0,"","","+12 à la puissance des sorts et 8 points de mana toutes les 5 secondes","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,70,
2994,0,5,0,0,13,0,0,13,0,0,32,0,0,"","","+13 au score de coup critique","","","","","","","","","","","","","",0xFF01FE,0,1,0,0,0,0,64,
