long,str,long,long,bool,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,float,long,float,float,long,flags,flags,flags,
593,"Transport20808",0,1,0,,,"Transport : Baie-du-Butin à Cabestan",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
594,"Transport187038",0,1,0,,,"Transport : Fjord hurlant Sœur Miséricorde (quête)",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
595,"StratholmeCOT",1,1,0,,,"L'Épuration de Stratholme",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,222,1.0,1,-8756.08691406,-4457.41796875,-1,0x2,0x0,0x5,
596,"Transport187263",0,1,0,,,"Transport: Naglfar",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
597,"CraigTest",0,15,0,,,"Test de Craig",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
598,"Sunwell5Man",1,1,0,,,"Correction du puits de soleil (inutilisé)",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,4,1.0,0,0.0,0.0,-1,0x1,0x0,0x5,
599,"Ulduar70",1,13,0,,,"Les salles de Pierre",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,230,1.0,571,8921.79296875,-966.80645752,-1,0x2,0x0,0x5,
600,"DrakTheronKeep",1,13,0,,,"Donjon de Drak'Tharon",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,228,1.0,571,4774.58300781,-2023.04907227,-1,0x2,0x0,0x5,
601,"Azjol_Uppercity",1,13,0,,,"Azjol -Nérub",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,229,1.0,571,3672.21533203,2171.27514648,-1,0x2,0x0,0x5,
602,"Ulduar80",1,13,0,,,"Les salles de Foudre",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,231,1.0,571,9185.08789063,-1386.79064941,-1,0x2,0x0,0x5,
603,"UlduarRaid",2,13,0,,,"Ulduar",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FE,244,1.0,571,9359.37109375,-1115.17541504,0,0x2,0x0,0x5,
604,"GunDrak",1,13,0,,,"Gundrak",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,237,1.0,571,6708.73095703,-4654.90380859,-1,0x2,0x0,0x5,
605,"development_nonweighted",0,17,0,,,"Terre en développement (textures sans pesanteur)",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,21,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
606,"QA_DVD",0,31,0,,,"AQ et DVD",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,21,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
607,"NorthrendBG",3,29,1,,,"Rivage des Anciens",,,,,,,,,,,,,,0xFF01FE,0,,,"Un artéfact légendaire des titans repose au sud de la Désolation des dragons. La Horde et l’Alliance estiment qu’il renferme des informations capitales sur les titans et leurs méthodes.

Préparez-vous au combat, car sur le rivage des Anciens, le destin ne compte pas.",,,,,,,,,,,,,,0xFF01FE,,,"Un artéfact légendaire des titans repose au sud de la Désolation des dragons. La Horde et l’Alliance estiment qu’il renferme des informations capitales sur les titans et leurs méthodes.

Préparez-vous au combat, car sur le rivage des Anciens, le destin ne compte pas.",,,,,,,,,,,,,,0xFF01FE,238,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
608,"DalaranPrison",1,29,0,,,"Le fort Pourpre",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,235,1.0,571,5689.48974609,498.046936035,-1,0x2,0x0,0x5,
609,"DeathKnightStart",0,29,0,,,"Le fort d'Ébène",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,322,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
610,"Transport_Tirisfal _Vengeance_Landing",0,1,0,,,"Transport : de Tirisfal à l'accostage de la Vengeance",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
612,"Transport_Menethil_Valgarde",0,1,0,,,"Transport : de Menethil à Valgarde",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
613,"Transport_Orgrimmar_Warsong_Hold",0,1,0,,,"Transport : d'Orgrimmar au bastion Chanteguerre",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
614,"Transport_Stormwind_Valiance_Keep",0,1,0,,,"Transport : de Hurlevent au donjon de la Bravoure",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
615,"ChamberOfAspectsBlack",2,29,0,,,"Le sanctum Obsidien",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,239,1.0,571,3438.15332031,260.401306152,-1,0x2,0x0,0x0,
616,"NexusRaid",2,29,0,,,"L'Œil de l'éternité",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,236,1.0,571,3869.98144531,6984.33007813,-1,0x2,0x0,0x5,
617,"DalaranArena",4,29,0,,,"Égouts de Dalaran",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,242,1.0,0,0.0,0.0,0,0x0,0x0,0x0,
618,"OrgrimmarArena",4,29,0,,,"L'arène des valeureux",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,240,1.0,0,0.0,0.0,720,0x0,0x0,0x0,
619,"Azjol_LowerCity",1,29,0,,,"Ahn'kahet : l'Ancien royaume",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,234,1.0,571,3641.45800781,2032.06384277,-1,0x2,0x0,0x0,
620,"Transport_Moa'ki_Unu'pe",0,1,0,,,"Transport : Moa'ki à Unu'pe",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
621,"Transport_Moa'ki_Kamagua",0,1,0,,,"Transport : Moa'ki à Kamagua",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
622,"Transport192241",0,1,0,,,"Transport : le Marteau d'Orgrim",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
623,"Transport192242",0,1,0,,,"Transport : le Brise-ciel",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
624,"WintergraspRaid",2,61,0,,,"Caveau d'Archavon",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,243,1.0,571,5488.12451172,2840.33374023,-1,0x2,0x0,0x0,
628,"IsleofConquest",3,29,1,,,"Île des Conquérants",,,,,,,,,,,,,,0xFF01FE,0,,,"L'île des Conquérants est un point stratégique très important pour la Horde et l'Alliance en Norfendre.

Chaque camp est déterminé à prendre le contrôle de ce point de ravitaillement idéal pour les opérations dans la Couronne de glace.

La 7e Légion et la garde kor'kronne s'y affrontent dans un combat à mort. Les deux factions ont lancé un appel aux armes dans l'espoir de faire pencher la balance en leur faveur et de vaincre le général ennemi.",,,,,,,,,,,,,,0xFF01FE,,,"L'île des Conquérants est un point stratégique très important pour la Horde et l'Alliance en Norfendre.

Chaque camp est déterminé à prendre le contrôle de ce point de ravitaillement idéal pour les opérations dans la Couronne de glace.

La 7e Légion et la garde kor'kronne s'y affrontent dans un combat à mort. Les deux factions ont lancé un appel aux armes dans l'espoir de faire pencher la balance en leur faveur et de vaincre le général ennemi.",,,,,,,,,,,,,,0xFF01FE,245,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
631,"IcecrownCitadel",2,285,0,,,"Citadelle de la Couronne de glace",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,250,1.0,571,5776.921875,2065.93237305,-1,0x2,0x0,0x0,
632,"IcecrownCitadel5Man",1,29,0,,,"La Forge des âmes",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,249,1.0,571,5670.79150391,2003.62854004,-1,0x2,0x0,0x0,
641,"Transport_AllianceAirshipBG",0,1,0,,,"Transport : CB Vaisseau de l'Alliance",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
642,"Transport_HordeAirshipBG",0,1,0,,,"Transport : CB Vaisseau de la Horde",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
647,"Transport_Orgrimmar_to_Thunderbluff",0,1,0,,,"Transport : d'Orgrimmar aux Pitons du Tonnerre",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
649,"ArgentTournamentRaid",2,29,0,,,"L'épreuve du croisé",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,246,1.0,571,8515.28613281,736.137145996,-1,0x2,0x0,0x0,
650,"ArgentTournamentDungeon",1,29,0,,,"L'épreuve du champion",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,247,1.0,571,8571.43457031,792.22052002,-1,0x2,0x0,0x0,
658,"QuarryofTears",1,29,0,,,"Fosse de Saron",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,252,1.0,571,5592.05712891,2010.27087402,-1,0x2,0x0,0x0,
668,"HallsOfReflection",1,29,0,,,"Salles des Reflets",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,253,1.0,571,5628.875,1973.28649902,-1,0x2,0x0,0x0,
672,"Transport197347",0,1,0,,,"Transport : le Brise-ciel (raid de la citadelle de la Couronne de glace)",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
673,"Transport197348",0,1,0,,,"Transport : le Marteau d'Orgrim (raid de la citadelle de la Couronne de glace)",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
712,"Transport197349",0,1,0,,,"Transport : le Brise-ciel (donjon de la Couronne de glace)",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
713,"Transport197350",0,1,0,,,"Transport : le Marteau d'Orgrim (donjon de la Couronne de glace)",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
718,"Transport201834",0,1,0,,,"Transport : le Grand vent (raid de la Couronne de glace)",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
723,"Stormwind",0,29,0,,,"Hurlevent",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,0,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
724,"ChamberofAspectsRed",2,285,0,,,"Le sanctum Rubis",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,254,1.0,0,0.0,0.0,-1,0x2,0x0,0x0,
726,"CataclysmCTF",3,1,1,,,"Les Pics Jumeaux",,,,,,,,,,,,,,0xFF01FE,0,,,"Nichés dans les hautes-terres du Crépuscules, les Pics-Jumeaux sont le point phare du conflit qui oppose la Horde à l'Alliance.

Sur ce champ de bataille à dix contre dix de type Capture du drapeau, la première faction à capturer trois fois le drapeau obtient la victoire.

Joignez vos forces tandis que les deux factions s'affrontent pour prendre le contrôle de ces hauteurs stratégiques !",,,,,,,,,,,,,,0xFF01FC,,,"Nichés dans les hautes-terres du Crépuscules, les Pics-Jumeaux sont le point phare du conflit qui oppose la Horde à l'Alliance.

Sur ce champ de bataille à dix contre dix de type Capture du drapeau, la première faction à capturer trois fois le drapeau obtient la victoire.

Joignez vos forces tandis que les deux factions s'affrontent pour prendre le contrôle de ces hauteurs stratégiques !",,,,,,,,,,,,,,0xFF01FC,256,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
761,"Gilneas_BG_2",3,1,1,,,"La bataille de Gilnéas",,,,,,,,,,,,,,0xFF01FE,0,,,"Tandis que le mur de Grisetête s'effondre, le conflit inévitable entre les Réprouvés et les worgens atteint de nouveaux sommets.

La bataille de Gilnéas est un champ de bataille à dix contre dix de type Domination, dans lequel chaque camp tente de prendre le contrôle de la mine, du phare et du moulin à eau aussi longtemps que possible.",,,,,,,,,,,,,,0xFF01FC,,,"Tandis que le mur de Grisetête s'effondre, le conflit inévitable entre les Réprouvés et les worgens atteint de nouveaux sommets.

La bataille de Gilnéas est un champ de bataille à dix contre dix de type Domination, dans lequel chaque camp tente de prendre le contrôle de la mine, du phare et du moulin à eau aussi longtemps que possible.",,,,,,,,,,,,,,0xFF01FC,257,1.0,0,0.0,0.0,-1,0x0,0x0,0x0,
774,"valleyofpowerscenario",3,1,1,,,"Temple de Kotmogu",,,,,,,,,,,,,,0xFF01FE,0,,,"La Horde et l’Alliance s’affrontent pour obtenir un puissant artéfact mogu très ancien qui selon les rumeurs détiendrait de formidables pouvoirs.",,,,,,,,,,,,,,0xFF01FE,,,"La Horde et l’Alliance s’affrontent pour obtenir un puissant artéfact mogu très ancien qui selon les rumeurs détiendrait de formidables pouvoirs.",,,,,,,,,,,,,,0xFF01FE,728,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
807,"ForgottensReach",0,0,0,,,"Les Ports Oubliés",,,,,,,,,,,,,,0xFF01FE,50707,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,739,1.0,-1,0.0,0.0,-1,0x0,0x0,0x0,
823,"AbyssalTemple",1,1,0,,,"Temple de la Terre",,,,,,,,,,,,,,0xFF01FE,5179,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,316,1.0,-1,0.0,0.0,-1,0x0,0x0,0xA,
825,"MysticForest",1,1,0,,,"Forêt Mystique",,,,,,,,,,,,,,0xFF01FE,5181,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,315,1.0,-1,0.0,0.0,-1,0x0,0x0,0xA,
850,"AbyssalTempleTwo",1,1,0,,,"Temple du Temps",,,,,,,,,,,,,,0xFF01FE,5223,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,316,1.0,-1,0.0,0.0,-1,0x0,0x0,0xA,
853,"TolVirArena",4,1,0,,,"Arène Tol'Viron",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,319,0.0,0,0.0,0.0,-1,0x0,0x0,0x0,
854,"ShadoPanArena",4,1,0,,,"Le croc du Tigre",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,353,0.0,0,0.0,0.0,-1,0x0,0x0,0x0,
860,"NewRaceStartZone",0,8666653,1,,,"L’île Vagabonde",,,,,,,,,,,,,,0xFF01FE,0,,,"",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FE,289,1.0,-1,0.0,0.0,960,0x0,0x0,0x0,
