long,long,long,long,flags,long,long,long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,flags,long,None,None,long,float,float,None,
492,0,10,516,0x40000040,0,11,0,15,0,26,,,"Cimetière de Colline-aux-Corbeaux",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
493,1,0,517,0x40,0,11,28,191,201,0,,,"Reflet-de-Lune",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.5,,
495,571,0,519,0x441,0,11,429,415,0,70,,,"Fjord Hurlant",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
496,1,15,518,0x40000040,0,11,0,214,0,36,,,"Mur-de-Fougères",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
497,1,15,520,0x40000040,0,11,0,0,0,0,,,"Manoir des Flammeroles",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
498,1,15,521,0x40000040,0,11,0,0,0,0,,,"Terrier des Rougefanges",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
499,1,15,522,0x40000040,0,11,0,0,0,0,,,"Caverne de Sombrebrume",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
500,1,15,623,0x40000040,0,11,0,0,0,0,,,"Cap Moggle",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
501,1,15,614,0x40000040,0,11,0,3,0,0,,,"Épave de Beezil",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
502,1,15,624,0x40000040,0,11,0,0,0,36,,,"Colline des sorcières",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
503,1,15,573,0x40000040,0,11,0,191,0,0,,,"Halte de la Vigie",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
504,1,15,523,0x40000040,0,11,0,191,0,0,,,"Tour de la halte nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
505,1,15,524,0x40000040,0,11,0,0,0,0,,,"Tour du cap ouest",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
506,1,15,525,0x40000040,0,11,0,191,0,0,,,"Halte perdue",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
507,1,15,526,0x40000040,0,11,0,0,0,36,,,"Marais bleu",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
508,1,15,527,0x40000040,0,11,0,0,0,0,,,"Ruines Cognepierres",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
509,1,15,528,0x40000040,0,11,0,0,0,38,,,"L'Antre des flammes",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
510,1,15,584,0x40000040,0,11,0,0,0,0,,,"Le cloaque aux dragons",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
511,1,15,529,0x40000040,0,11,0,0,0,43,,,"Tourbière du Ver",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
512,1,15,530,0x40200040,0,11,0,0,0,36,,,"Sabot-noir",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
513,1,15,531,0x40200040,0,11,43,13,401,36,,,"Île de Theramore",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
514,1,15,532,0x40000040,0,11,0,0,0,0,,,"Citadelle de Theramore",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
515,1,15,533,0x40000040,0,11,0,0,0,0,,,"Prison du cuirassé",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
516,1,15,534,0x40000040,0,11,0,0,0,0,,,"Baie d'Âprefange",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
517,1,15,535,0x40000040,0,11,0,0,0,0,,,"Crique du Mascaret",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
518,1,15,536,0x40000040,0,11,0,0,0,36,,,"Rivage de Troubleffroi",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
536,0,10,537,0x40000040,0,11,0,2,0,24,,,"Ferme des Addle",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
537,1,490,538,0x40000040,0,11,0,0,0,55,,,"Crête de la Fournaise",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
538,1,490,539,0x40000040,0,11,0,0,0,49,,,"Fosses de goudron de Lakkari",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
539,1,490,540,0x40000040,0,11,0,0,0,53,,,"Coteaux de la terreur",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
540,1,490,541,0x40000040,0,11,0,0,0,51,,,"La Balafre sinueuse",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
541,1,490,542,0x40000040,0,11,0,0,0,0,,,"Refuge des Marshal",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
542,1,490,543,0x40000040,0,11,0,0,0,0,,,"Rocher fongique",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
543,1,490,544,0x40000040,0,11,0,0,0,53,,,"Sources de Golakka",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
556,0,38,545,0x40000040,0,11,0,1,0,12,,,"Le Loch",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
576,0,10,546,0x40000040,0,11,0,2,0,25,,,"Repaire des mendiants",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
596,1,405,593,0x40000040,0,11,0,7,0,35,,,"Cimetière des kodos",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
597,1,405,594,0x40200040,0,11,0,226,0,0,,,"Poste de Rôdeur-fantôme",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
598,1,405,595,0x40000040,0,11,31,227,0,0,,,"Grève de Sar'theris",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
599,1,405,596,0x40000040,0,11,0,193,301,30,,,"Forteresse de Hache-Tonnerre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
600,1,405,597,0x40000040,0,11,0,7,0,0,,,"Trou de Bolgan",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
602,1,405,599,0x40000040,0,11,0,193,0,39,,,"Convent de Mannoroc",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
603,1,405,600,0x40000040,0,11,0,76,0,31,,,"Sargeron",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
604,1,405,601,0x40000040,0,11,0,7,0,36,,,"Village des Magram",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
606,1,405,603,0x40000040,0,11,0,7,0,34,,,"Village des Gelkis",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
607,1,405,604,0x40000040,0,11,0,7,0,37,,,"Vallée des Lances",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
608,1,405,605,0x40200040,0,11,0,206,103,30,,,"Combe de Nijel",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
609,1,405,598,0x40000040,0,11,0,7,0,32,,,"Village des Kolkar",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
616,1,0,619,0x40,0,11,31,0,0,0,,,"Hyjal",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
618,1,0,621,0x41,0,11,42,8,0,0,,,"Berceau-de-l'Hiver",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
636,1,406,626,0x40000040,0,11,0,7,0,0,,,"Fleuve Loup-noir",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
637,1,215,635,0x40000000,0,11,0,9,121,0,,,"Rocher des kodos",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
638,1,14,636,0x40000040,0,11,0,0,0,0,,,"Chemin secret",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
639,1,14,637,0x40000040,0,11,0,0,0,0,,,"Rocher des esprits",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
640,1,14,638,0x40000040,0,11,0,0,0,0,,,"Autel de la flamme dormante",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
656,1,493,295,0x40000040,0,11,0,0,0,15,,,"Lac Elune'ara",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
657,0,8,296,0x40000040,0,11,0,0,0,37,,,"Le Havre boueux",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
676,150,0,297,0x40,0,11,46,0,0,0,,,"Outreterre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.600000023842,,
696,1,141,298,0x40000040,0,11,48,76,0,0,,,"Terrasse des Artisans",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
697,1,141,299,0x40000040,0,11,48,76,0,0,,,"Terrasse des Marchands",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
698,1,141,300,0x40000040,0,11,48,76,0,0,,,"Les Jardins du temple",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
699,1,141,301,0x40000040,0,11,48,76,0,0,,,"Temple d'Elune",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
700,1,141,302,0x40000040,0,11,48,76,65,0,,,"Enclave cénarienne",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
701,1,141,303,0x40000040,0,11,48,76,0,0,,,"Terrasse des Guerriers",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
702,1,141,304,0x40300040,0,11,0,0,0,11,,,"Rut'theran",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
716,0,1,639,0x40000040,0,11,0,0,0,0,,,"Base de Baguefer",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
717,34,0,640,0x0,0,11,0,0,0,0,,,"La Prison",,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
718,43,0,641,0x0,0,11,0,0,0,0,,,"Cavernes des lamentations",,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
719,48,0,642,0x0,75,11,0,176,0,0,,,"Profondeurs de Brassenoire",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
720,1,17,643,0x40000040,0,11,32,3,121,0,,,"Île de la Dispute",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
721,90,0,305,0x0,0,11,42,0,0,0,,,"Gnomeregan",,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
722,129,0,644,0x3,0,11,38,0,0,0,,,"Souilles de Tranchebauge",,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
736,1,141,645,0x40000040,0,11,0,0,0,8,,,"Creux de Ban'ethil",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
796,189,0,646,0x0,0,11,0,205,0,0,,,"Monastère écarlate",,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
797,0,12,647,0x40000040,0,11,35,0,301,8,,,"Le Débarcadère de Jerod",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
798,0,12,648,0x40000040,0,11,35,0,0,8,,,"Tour de la Crête",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
799,0,10,649,0x40000040,0,11,0,2,0,10,,,"La Rive sombre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
800,0,1,650,0x40100040,0,11,0,0,0,4,,,"Passe des Frigères",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
801,0,1,651,0x40000040,0,11,0,0,0,8,,,"Vallée de la bise",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
802,0,1,652,0x40000040,0,11,0,0,121,8,,,"Crête scintillante",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
803,0,1,653,0x40000040,0,11,0,0,0,7,,,"Ferme des Distillambre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
804,0,1,654,0x40000040,0,11,0,0,0,8,,,"Les Collines de Tundrid",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
805,0,1,655,0x40000040,0,11,0,0,0,0,,,"Passage de la porte Sud",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
806,0,1,656,0x40200040,0,11,0,0,0,12,,,"Avant-poste de la porte Sud",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
807,0,1,657,0x40000040,0,11,0,0,0,0,,,"Passage de la porte Nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
808,0,1,658,0x40200040,0,11,0,0,0,11,,,"Avant-poste de la porte Nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
809,0,1,659,0x40200040,0,11,0,0,0,7,,,"Portes de Forgefer",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
810,0,85,660,0x40000040,0,11,0,0,0,7,,,"Étang immobile",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
811,0,85,661,0x40000040,0,11,0,0,0,5,,,"Vallée des cauchemars",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
812,0,85,662,0x40000040,0,11,0,0,0,10,,,"Vallée de Tissevenin",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
813,0,28,663,0x40000040,0,11,0,0,0,52,,,"La Barricade",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
814,1,14,664,0x40000040,0,11,0,0,0,0,,,"La Furie-du-Sud",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
815,1,17,665,0x40000040,0,11,0,0,0,0,,,"La Furie-du-Sud",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
816,1,14,666,0x40000040,0,11,0,0,0,8,,,"Terres des Tranchecrins",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
817,1,14,667,0x40000040,0,11,0,0,0,10,,,"Rocher du crâne",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
818,1,215,668,0x40000040,0,11,0,0,0,5,,,"Rocher des crins-pâles",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
819,1,215,669,0x40000040,0,11,0,0,0,9,,,"Crête des Furies-des-vents",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
820,1,215,670,0x40000040,0,11,0,0,0,5,,,"Les plaines dorées",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
821,1,215,671,0x40000040,0,11,0,0,0,8,,,"Les plaines vallonnées",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
836,0,11,672,0x40000040,0,11,0,0,0,20,,,"Dun Algaz",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
837,0,38,673,0x40000040,0,11,0,0,0,0,,,"Dun Algaz",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
838,0,38,306,0x40000040,0,11,0,0,0,0,,,"Passage de la porte Nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
839,0,38,307,0x40000040,0,11,0,0,0,0,,,"Passage de la porte Sud",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
856,0,10,674,0x40000040,0,11,0,2,0,19,,,"Bosquet du crépuscule",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
876,1,0,675,0x40,0,11,0,0,0,0,,,"Île des MJ",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
877,1,17,676,0x40000040,0,11,0,0,0,0,,,"Supprimez-MOI",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
878,1,16,677,0x40000040,0,11,0,8,0,0,,,"La Furie-du-Sud",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
879,1,331,678,0x40000040,0,11,0,0,0,0,,,"La Furie-du-Sud",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
880,0,45,679,0x40000040,0,11,0,0,0,30,,,"Viaduc de Thandol",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
881,0,11,680,0x40000040,0,11,0,0,0,0,,,"Viaduc de Thandol",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
896,0,267,308,0x40000040,0,11,40,193,0,30,,,"Île de la purification",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
916,0,40,681,0x40000040,0,11,0,0,0,9,,,"La ferme des Jansen",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
917,0,40,682,0x40000040,0,11,0,0,0,18,,,"L'acre mort",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
918,0,40,683,0x40000040,0,11,0,0,0,14,,,"La ferme des Molsen",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
919,0,40,684,0x40000040,0,11,0,0,0,14,,,"Étang de Stendel",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
920,0,40,309,0x40000040,0,11,0,0,0,17,,,"Les collines de la Dague",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
921,0,40,310,0x40000040,0,11,0,0,0,16,,,"Maison de Demont",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
922,0,40,311,0x40000040,0,11,0,0,0,18,,,"Les plaines de Poussière",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
923,0,38,312,0x40000040,0,11,0,0,0,13,,,"Vallée des Brisepierre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
924,0,38,313,0x40200040,0,11,0,0,0,11,,,"Vallée des rois",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
925,0,38,314,0x40200040,0,11,0,0,0,12,,,"Poste d'Algaz",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
926,0,130,315,0x40000040,0,11,0,0,0,0,,,"Ferme des Bucklebree",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
927,0,130,316,0x40000040,0,11,0,0,0,14,,,"Le Rivage rayonnant",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
928,0,130,317,0x40000040,0,11,0,0,0,0,,,"Creux de la côte nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
936,0,38,318,0x40000040,0,11,0,0,0,12,,,"Falaise de Vieillegriffe",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
956,169,0,319,0x40,0,11,0,0,0,0,,,"Les Champs verdoyants",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
976,1,440,320,0x40200040,0,0,0,0,0,40,,,"Gadgetzan",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
977,1,440,390,0x40000040,0,0,0,3,0,40,,,"Port Gentepression",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
978,1,440,321,0x40000040,0,0,25,176,0,45,,,"Zul'Farrak",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
979,1,440,322,0x40000040,0,0,0,0,0,44,,,"Guet de Tristesable",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
980,1,440,323,0x40000040,0,0,0,0,0,49,,,"Vallée des Chardonniers",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
981,1,440,324,0x40000040,0,0,0,0,0,48,,,"Le Gouffre béant",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
982,1,440,325,0x40000040,0,0,0,0,0,48,,,"Le Repaire nuisible",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
983,1,440,326,0x40000040,0,0,0,0,0,47,,,"Base des Cognedunes",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
984,1,440,327,0x40000040,0,0,0,0,0,47,,,"Ruines d'Estelune",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
985,1,440,328,0x40000040,0,0,0,0,0,44,,,"Champ des puisatiers",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
986,1,440,329,0x40000040,0,0,0,0,0,45,,,"La tanière de Zalashji",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
987,1,440,330,0x40000040,0,0,0,0,0,48,,,"Plage du Bout-du-Monde",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
988,1,440,331,0x40000040,0,0,0,0,0,0,,,"Plage des Déferlantes",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
989,1,440,332,0x40000040,0,0,0,0,0,0,,,"Uldum",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
990,1,440,333,0x40000040,0,0,0,0,0,50,,,"Vallée des guetteurs",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
991,1,440,334,0x40000040,0,0,0,0,0,0,,,"Poste de Gunstan",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
992,1,440,335,0x40000040,0,0,0,0,0,47,,,"Ruines de Sudelune",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
996,0,44,408,0x40000040,0,0,0,0,0,22,,,"Camp des Etripeurs",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
997,0,44,409,0x40000040,0,0,0,0,0,20,,,"Vallée des Etripeurs",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
998,0,44,410,0x40000040,0,0,0,0,0,25,,,"Rocher des Etripeurs",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
999,0,44,411,0x40000040,0,0,0,0,0,0,,,"Tour de Guet-de-pierre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1000,0,44,412,0x40000040,0,0,0,0,0,22,,,"Vallée de Galardell",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1001,0,44,336,0x40000040,0,0,0,0,0,16,,,"Grand-route de la Crête du lac",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1002,0,44,337,0x40000040,0,0,0,0,0,16,,,"Trois chemins",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1016,0,11,338,0x40000040,0,0,0,0,0,28,,,"Colline de Morneforge",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1017,0,11,339,0x40000040,0,0,0,0,0,30,,,"Crête des raptors",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1018,0,11,340,0x40000040,0,0,0,0,0,25,,,"Marais des eaux-noires",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1019,0,139,341,0x40000040,0,0,0,0,0,0,,,"La Ceinture verte",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1020,0,11,342,0x40000040,0,0,0,0,0,22,,,"Marais des Poils-moussus",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1021,0,11,343,0x40000040,0,0,0,0,0,22,,,"Rocher de Thelgen",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1022,0,11,344,0x40000040,0,0,0,0,0,24,,,"Marais des Branchies-bleues",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1023,0,11,345,0x40000040,0,0,0,0,0,25,,,"Vallon des embruns",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1024,0,11,346,0x40000040,0,0,0,0,0,20,,,"Marais du couchant",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1025,0,11,347,0x40000040,0,0,0,0,0,21,,,"La Ceinture verte",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1036,0,11,391,0x40000040,0,0,0,0,0,28,,,"Campement de Hargnecroc",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1037,0,11,392,0x40000040,0,0,0,0,0,25,,,"Grim Batol",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1038,0,11,393,0x40000040,0,0,0,0,0,25,,,"Portes des Gueules-de-dragon",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1039,0,11,394,0x40000040,0,0,0,0,0,25,,,"La flotte perdue",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1056,0,267,348,0x40000040,0,0,31,0,0,31,,,"Colline de Darrow",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1057,0,267,349,0x40000040,0,0,31,0,0,0,,,"Mur de Thoradin",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1076,1,406,368,0x40000040,0,0,0,0,0,21,,,"Sentier des Tisseuses",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1097,0,10,351,0x40000040,0,0,0,0,0,19,,,"La Rive silencieuse",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1098,0,10,352,0x40000040,0,0,0,0,0,30,,,"Manoir Mantebrume",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1099,1,357,353,0x40200040,0,0,0,226,0,42,,,"Camp Mojache",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1100,1,357,395,0x40000040,0,0,0,0,0,41,,,"Base des Totems-sinistres",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
